Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Exit_Sub_Main,Exit_Exit_Sub1,Exit_Exit_Sub2,Exit_Exit_Sub3,Exit_Group 5639,Zone_ZoneSensor stair (10),Zone_ZoneSensor stair (9),Zone_ZoneSensor stair (8),Zone_ZoneSensor stair (7),Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (5),Zone_ZoneSensor stair (4),Zone_ZoneSensor stair (3),Zone_ZoneSensor stair (2),Zone_ZoneSensor stair (1),Zone_ZoneSensor (1),Zone_ZoneSensor stair
0.00,0,500,0.0000,10,224,46,86,42,102,0,0,0,0,0,0,0,0,0,0,10,0
1.01,0,500,0.0068,10,224,46,86,42,102,0,0,0,0,0,0,0,0,0,0,10,0
2.03,0,500,0.0139,10,224,46,86,42,102,0,0,0,0,0,0,0,0,0,0,10,0
3.03,0,500,0.0168,10,224,46,86,42,102,0,0,0,0,0,0,0,0,0,0,10,0
4.03,0,500,0.0236,10,224,46,86,42,102,0,0,0,0,0,0,0,0,0,0,10,0
5.04,0,500,0.0274,10,224,46,86,42,102,0,0,0,0,0,0,0,0,0,0,10,0
6.04,0,500,0.0376,10,224,46,86,42,102,0,0,0,0,0,0,0,0,0,0,10,0
7.05,0,500,0.0403,10,224,46,86,42,102,0,0,0,0,0,0,0,0,0,0,10,0
8.05,0,500,0.0436,10,224,46,86,42,102,0,0,0,0,0,0,0,0,0,0,10,0
9.06,0,500,0.0440,10,224,46,86,42,102,0,0,0,0,0,0,0,0,0,0,10,0
10.08,0,500,0.0564,10,224,46,86,42,102,0,0,0,0,0,0,0,0,0,0,10,0
11.10,0,500,0.0625,10,224,46,86,42,102,0,0,0,0,0,0,0,0,0,0,10,0
12.11,0,500,0.0617,10,224,46,86,42,102,0,0,0,0,0,0,0,0,0,0,10,0
13.13,0,500,0.0736,10,224,46,86,42,102,0,0,0,0,0,0,0,0,0,0,10,0
14.14,0,500,0.0764,10,224,46,86,42,102,0,0,0,0,0,0,0,0,0,0,10,0
15.14,0,500,0.0869,10,224,46,86,42,102,0,0,0,0,0,0,0,0,0,0,10,0
16.17,0,500,0.0888,10,224,46,86,42,102,0,0,0,0,0,0,0,0,0,0,10,0
17.18,0,500,0.0950,10,224,46,86,42,102,0,0,0,0,0,0,0,0,0,0,10,0
18.19,0,500,0.0966,10,224,46,86,42,102,0,0,0,0,0,0,0,0,0,0,10,0
19.21,0,500,0.1055,10,224,46,86,42,102,0,0,0,0,0,0,0,0,0,0,10,0
20.23,0,500,0.1133,10,224,46,86,42,102,0,0,0,0,0,0,0,0,0,0,10,0
21.25,1,499,0.1115,10,224,46,85,42,102,0,0,0,0,0,0,0,0,0,0,10,0
22.25,1,499,0.1105,10,224,46,85,42,102,0,0,0,0,0,0,0,0,0,0,10,0
23.27,1,499,0.1130,10,224,46,85,42,102,0,0,0,0,0,0,0,0,0,0,10,0
24.28,1,499,0.1219,10,224,46,85,42,102,0,0,0,0,0,0,0,0,0,0,10,0
25.30,1,499,0.1264,10,224,46,85,42,102,0,0,0,0,0,0,0,0,0,0,10,0
26.35,1,499,0.1281,10,224,46,85,42,102,0,0,0,0,0,0,0,0,0,0,10,0
27.37,1,499,0.1420,10,224,46,85,42,102,0,0,0,0,0,0,0,0,0,0,10,0
28.39,2,498,0.1489,10,224,46,85,42,101,0,0,0,0,0,0,0,0,0,0,10,0
29.40,2,498,0.1473,10,224,46,85,42,101,0,0,0,0,0,0,0,0,0,0,10,0
30.42,2,498,0.1566,10,224,46,85,42,101,0,0,0,0,0,0,0,0,0,0,10,0
31.44,2,498,0.1669,10,224,46,85,42,101,0,0,0,0,0,0,0,0,0,0,10,0
32.46,2,498,0.1677,10,224,46,85,42,101,0,0,0,0,0,0,0,0,0,0,10,0
33.49,2,498,0.1748,10,224,46,85,42,101,0,0,0,0,0,0,0,0,0,0,10,0
34.50,2,498,0.1766,10,224,46,85,42,101,0,0,0,0,0,0,0,0,0,0,10,0
35.51,2,498,0.1806,10,224,46,85,42,101,0,0,0,0,0,0,0,0,0,0,10,0
36.52,2,498,0.1861,10,224,46,85,42,101,0,0,0,0,0,0,0,0,0,0,10,0
37.54,2,498,0.1882,10,224,46,85,42,101,0,0,0,0,0,0,0,0,0,0,10,0
38.57,3,497,0.1916,10,224,46,84,42,101,0,0,0,0,0,0,0,0,0,0,10,0
39.57,3,497,0.2398,10,224,46,84,42,101,0,0,0,0,0,0,0,0,0,0,10,0
40.59,3,497,0.2091,10,224,46,84,42,101,0,0,0,0,0,0,0,0,0,0,10,0
41.59,3,497,0.2047,10,224,46,84,42,101,0,0,0,0,0,0,0,0,0,0,10,0
42.60,3,497,0.2098,10,224,46,84,42,101,0,0,0,0,0,0,0,0,0,0,10,0
43.62,3,497,0.2176,10,224,46,84,42,101,0,2,0,0,0,0,0,0,0,0,10,0
44.65,3,497,0.2207,10,224,46,84,42,101,0,0,0,0,0,0,0,0,0,0,10,0
45.67,3,497,0.2287,10,224,46,84,42,101,0,0,0,0,0,0,0,0,0,2,10,0
46.68,3,497,0.2354,10,224,46,84,42,101,0,0,0,0,0,0,0,0,0,2,10,0
47.69,3,497,0.2362,10,224,46,84,42,101,0,0,0,2,0,0,0,0,0,0,10,2
48.71,3,497,0.2353,10,224,46,84,42,101,0,0,0,2,0,0,0,0,0,0,10,2
49.72,3,497,0.2480,10,224,46,84,42,101,0,0,0,0,0,0,0,0,0,0,10,0
50.73,4,496,0.2485,10,223,46,84,42,101,0,0,0,0,0,0,0,0,0,0,10,2
51.73,4,496,0.2576,10,223,46,84,42,101,0,0,0,0,0,0,0,0,0,0,10,2
52.73,4,496,0.2560,10,223,46,84,42,101,0,2,0,0,0,0,0,0,0,0,10,0
53.75,5,495,0.2546,10,222,46,84,42,101,0,0,0,2,0,0,0,0,0,0,10,0
54.76,5,495,0.2611,12,222,46,84,42,101,0,2,0,0,0,0,0,0,0,0,12,2
55.78,7,493,0.2636,12,221,46,84,42,100,0,2,0,0,0,0,0,0,0,0,12,2
56.79,8,492,0.2632,12,221,46,84,42,99,0,2,0,0,0,0,0,0,0,0,12,0
57.79,9,491,0.2649,12,220,46,84,42,99,0,2,2,0,0,0,0,0,0,0,12,0
58.79,10,490,0.3078,12,220,45,84,42,99,0,0,2,0,0,0,0,0,0,0,12,0
59.81,10,490,0.2853,12,220,45,84,42,99,0,0,0,2,0,0,0,0,0,0,12,0
60.83,11,489,0.2983,12,220,45,84,41,99,0,0,0,2,0,0,0,0,0,0,12,0
61.85,11,489,0.3056,12,220,45,84,41,99,0,0,0,0,0,0,0,0,0,0,12,2
62.87,12,488,0.3364,12,220,44,84,41,99,0,0,2,0,0,0,0,0,2,0,12,2
63.89,12,488,0.3114,12,220,44,84,41,99,0,0,2,0,0,0,0,0,4,0,12,0
64.92,13,487,0.3165,12,220,44,84,40,99,0,0,0,2,0,0,0,0,2,0,12,2
65.92,14,486,0.3175,12,220,44,84,40,98,0,0,0,4,0,0,0,0,4,0,12,2
66.94,15,485,0.3201,12,219,44,84,40,98,0,2,0,4,0,0,0,0,2,0,12,0
67.96,15,485,0.3272,12,219,44,84,40,98,0,4,0,2,0,0,0,0,0,2,12,0
68.98,15,485,0.3337,12,219,44,84,40,98,0,4,0,0,0,0,0,0,0,2,12,0
70.00,15,485,0.3515,12,219,44,84,40,98,0,2,0,0,0,0,0,0,0,2,12,0
71.02,15,485,0.3512,12,219,44,84,40,98,0,0,0,0,0,0,0,0,0,0,12,0
72.05,15,485,0.3543,12,219,44,84,40,98,0,0,2,0,0,0,0,0,0,0,12,0
73.07,15,485,0.3571,12,219,44,84,40,98,0,0,0,2,0,0,0,0,0,0,12,2
74.09,16,484,0.3555,12,219,44,83,40,98,0,0,2,4,0,0,0,0,2,0,12,2
75.11,16,484,0.3524,12,219,44,83,40,98,0,0,2,2,0,0,0,0,2,2,12,0
76.12,17,483,0.3577,12,218,44,83,40,98,0,0,2,0,0,0,0,0,0,4,12,0
77.13,18,482,0.3609,12,218,43,83,40,98,0,0,0,0,0,0,0,0,0,2,12,0
78.15,19,481,0.3608,12,218,43,83,40,97,0,0,0,2,0,0,0,0,0,2,12,2
79.15,21,479,0.3660,12,218,43,82,39,97,0,2,0,0,0,0,0,0,0,0,12,2
80.16,21,479,0.4242,12,218,43,82,39,97,0,0,0,2,0,0,0,0,0,2,12,2
81.17,21,479,0.3751,12,218,43,82,39,97,0,2,0,2,0,0,0,0,0,4,12,4
82.18,23,477,0.3721,12,218,42,81,39,97,0,2,0,2,0,0,0,0,2,4,12,8
83.18,23,477,0.3792,12,218,42,81,39,97,0,4,2,4,0,0,0,0,2,6,12,8
84.20,25,475,0.3855,12,218,42,81,38,96,0,0,0,2,0,0,0,0,0,4,12,6
85.21,25,475,0.3914,12,218,42,81,38,96,0,2,0,0,0,0,0,0,0,4,12,2
86.21,25,475,0.3977,12,218,42,81,38,96,0,2,2,0,0,0,0,0,0,2,12,2
87.22,26,474,0.3996,12,218,42,81,38,95,0,0,2,0,0,0,0,0,0,0,12,0
88.24,28,472,0.4070,12,216,42,81,38,95,0,0,2,0,0,0,0,0,0,0,12,2
89.25,29,471,0.4068,12,216,42,80,38,95,0,0,2,2,0,0,0,0,0,0,12,4
90.26,30,470,0.4130,12,216,42,79,38,95,0,2,2,4,0,0,0,0,0,0,12,4
91.27,31,469,0.4210,14,216,42,79,38,94,0,2,0,4,0,0,0,0,0,0,14,2
92.28,32,468,0.4241,14,215,42,79,38,94,0,2,0,2,0,0,0,0,0,0,14,0
93.32,33,467,0.4241,14,214,42,79,38,94,0,2,0,2,0,0,0,0,0,2,14,0
94.34,33,467,0.4323,14,214,42,79,38,94,0,2,2,2,0,0,0,0,0,2,14,0
95.36,34,466,0.4383,14,214,42,78,38,94,0,2,0,2,0,0,0,0,0,0,14,0
96.38,34,466,0.4372,14,214,42,78,38,94,0,0,0,2,0,0,0,0,0,0,14,2
97.38,35,465,0.4391,14,214,42,77,38,94,0,0,0,0,0,0,0,0,0,2,14,2
98.39,36,464,0.4390,16,213,42,77,38,94,0,0,0,0,0,0,0,0,0,4,16,2
99.39,38,462,0.4440,16,212,41,77,38,94,0,0,2,2,0,0,0,0,0,2,16,4
100.39,40,460,0.4470,16,211,40,77,38,94,0,0,4,2,0,0,0,0,0,2,16,4
101.42,42,458,0.4638,16,211,40,77,38,92,0,0,4,0,0,0,0,0,0,2,16,0
102.44,43,457,0.5202,16,211,40,77,38,91,0,0,4,2,0,0,0,0,0,2,16,0
103.46,43,457,0.4754,16,211,40,77,38,91,0,0,4,2,0,0,0,0,2,2,16,2
104.46,43,457,0.4791,16,211,40,77,38,91,0,0,4,0,0,0,0,0,2,0,16,2
105.46,44,456,0.4827,16,210,40,77,38,91,0,0,4,0,0,0,0,0,2,0,16,0
106.48,44,456,0.4890,16,210,40,77,38,91,0,2,2,2,0,0,0,0,0,0,16,2
107.49,45,455,0.4967,16,210,40,77,38,90,0,0,0,4,0,0,0,0,0,0,16,2
108.50,47,453,0.4955,16,210,40,77,37,89,0,0,0,4,0,0,0,0,0,0,16,0
109.51,47,453,0.4978,16,210,40,77,37,89,0,0,2,4,0,0,0,0,0,0,16,0
110.51,48,452,0.4996,16,210,40,77,37,88,0,2,4,6,0,0,0,0,0,0,16,0
111.53,50,450,0.5027,16,209,40,77,36,88,0,2,4,2,0,0,0,0,0,2,16,0
112.54,54,446,0.4975,16,208,39,77,36,86,0,2,4,0,0,0,0,0,0,2,16,0
113.55,54,446,0.5048,16,208,39,77,36,86,0,2,2,2,0,0,0,0,0,0,16,0
114.57,55,445,0.5043,16,208,39,77,36,85,0,0,4,2,0,0,0,0,0,0,16,0
115.58,56,444,0.5115,16,208,39,77,36,84,0,2,2,0,0,0,0,0,0,0,16,0
116.61,58,442,0.5180,16,208,38,77,36,83,0,0,0,2,0,0,0,0,0,0,16,0
117.62,60,440,0.5132,16,208,38,76,36,82,0,0,2,4,0,0,0,0,0,0,16,0
