Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Seed,ActiveSigns,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair (4)_noSmartSign,Zone_ZoneSensor (1)
0,0,1000,0,0,0,0,270,246,81,403,0,0
1.01,2,998,0.0086,0,0,0,268,246,81,403,0,0
2.02,2,998,0.0193,0,0,0,268,246,81,403,0,0
3.03,2,998,0.0266,0,0,0,268,246,81,403,0,0
4.04,2,998,0.0338,0,0,0,268,246,81,403,0,0
5.05,2,998,0.0406,0,0,0,268,246,81,403,0,0
6.06,2,998,0.0531,0,0,0,268,246,81,403,0,0
7.09,2,998,0.0599,0,0,0,268,246,81,403,0,0
8.13,2,998,0.0549,0,0,0,268,246,81,403,0,0
9.15,2,998,0.055,0,0,0,268,246,81,403,0,0
10.24,2,998,0.0556,0,0,0,268,246,81,403,0,0
11.34,2,998,0.0588,0,0,0,268,246,81,403,0,0
12.46,2,998,0.0614,0,0,0,268,246,81,403,0,0
13.6,3,997,0.0609,0,0,0,267,246,81,403,0,0
14.72,3,997,0.0629,0,0,0,267,246,81,403,0,0
15.85,3,997,0.0645,0,0,0,267,246,81,403,0,0
16.9,3,997,0.061,2,0,0,267,246,81,403,2,0
18,3,997,0.0662,2,0,0,267,246,81,403,2,0
19.03,3,997,0.0671,2,0,0,267,246,81,403,2,0
20.11,3,997,0.0687,2,0,0,267,246,81,403,2,0
21.14,3,997,0.0685,0,0,0,267,246,81,403,0,0
22.23,3,997,0.0686,0,0,0,267,246,81,403,0,0
23.28,3,997,0.0692,0,0,0,267,246,81,403,0,0
24.35,3,997,0.0677,2,0,0,267,246,81,403,0,2
25.4,4,996,0.0674,0,0,0,267,246,81,402,0,0
26.4,4,996,0.0701,2,0,0,267,246,81,402,2,0
27.55,4,996,0.0739,2,0,0,267,246,81,402,2,0
28.68,4,996,0.0772,2,0,0,267,246,81,402,2,0
29.73,4,996,0.0812,2,0,0,267,246,81,402,2,0
30.77,5,995,0.0823,2,0,0,266,246,81,402,2,0
31.91,5,995,0.0819,2,0,0,266,246,81,402,2,0
32.93,6,994,0.0793,2,0,0,266,246,81,401,2,0
34.05,6,994,0.0799,2,0,0,266,246,81,401,2,0
35.16,6,994,0.0772,2,0,0,266,246,81,401,2,0
36.19,6,994,0.0803,0,0,0,266,246,81,401,0,0
37.31,6,994,0.0823,0,0,0,266,246,81,401,0,0
38.39,7,993,0.0788,0,0,0,265,246,81,401,0,0
39.47,7,993,0.0778,0,0,0,265,246,81,401,0,0
40.57,7,993,0.0765,0,0,0,265,246,81,401,0,0
41.63,7,993,0.0779,0,0,0,265,246,81,401,0,0
42.73,8,992,0.0783,0,0,0,265,246,80,401,0,0
43.83,8,992,0.0764,2,0,0,265,246,80,401,2,0
44.91,8,992,0.0787,2,0,0,265,246,80,401,2,0
46.02,8,992,0.0796,2,0,0,265,246,80,401,2,0
47.14,9,991,0.08,2,0,0,264,246,80,401,2,0
48.25,12,988,0.0742,2,0,0,262,245,80,401,2,0
49.27,12,988,0.0751,0,0,0,262,245,80,401,0,0
50.32,13,987,0.0737,0,0,0,261,245,80,401,0,0
51.45,13,987,0.0731,0,0,0,261,245,80,401,0,0
52.57,14,986,0.0724,0,0,0,260,245,80,401,0,0
