Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Seed,ActiveSigns,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor (1),Zone_ZoneSensor stair (4)_noSmartSign
0,0,1000,0,0,0,0,270,246,81,403,0,0
1.01,1,999,0.0053,0,0,0,269,246,81,403,0,0
2.01,1,999,0.0145,0,0,0,269,246,81,403,0,0
3.02,1,999,0.0281,0,0,0,269,246,81,403,0,0
4.03,1,999,0.0343,0,0,0,269,246,81,403,0,0
5.03,1,999,0.0442,0,0,0,269,246,81,403,0,0
6.03,1,999,0.0515,0,0,0,269,246,81,403,0,0
7.04,1,999,0.058,0,0,0,269,246,81,403,0,0
8.05,1,999,0.0629,0,0,0,269,246,81,403,0,0
9.05,1,999,0.077,0,0,0,269,246,81,403,0,0
10.06,1,999,0.0818,0,0,0,269,246,81,403,0,0
11.06,1,999,0.0905,0,0,0,269,246,81,403,0,0
12.07,1,999,0.0914,0,0,0,269,246,81,403,0,0
13.08,1,999,0.098,0,0,0,269,246,81,403,0,0
14.1,1,999,0.1064,0,0,0,269,246,81,403,0,0
15.1,1,999,0.1108,0,0,0,269,246,81,403,0,0
16.1,1,999,0.1224,0,0,0,269,246,81,403,0,0
17.11,2,998,0.1406,0,0,0,268,246,81,403,0,0
18.11,3,997,0.1404,2,0,0,267,246,81,403,2,0
19.13,3,997,0.1463,2,0,0,267,246,81,403,2,2
20.13,3,997,0.1548,2,0,0,267,246,81,403,2,2
21.14,3,997,0.1613,2,0,0,267,246,81,403,2,2
22.14,4,996,0.1708,2,0,0,267,246,81,402,0,2
23.14,5,995,0.174,2,0,0,267,245,81,402,0,2
24.15,5,995,0.1778,4,0,0,267,245,81,402,0,4
25.15,5,995,0.1864,4,0,0,267,245,81,402,0,4
26.16,5,995,0.2,4,0,0,267,245,81,402,0,4
27.17,6,994,0.2044,2,0,0,267,244,81,402,2,2
28.18,7,993,0.2102,0,0,0,267,244,81,401,0,0
29.2,7,993,0.2107,0,0,0,267,244,81,401,0,0
