Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Seed,ActiveSigns,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair (8),Zone_ZoneSensor stair (9),Zone_ZoneSensor stair (4)_noSmartSign,Zone_ZoneSensor stair (2),Zone_ZoneSensor stair (1),Zone_ZoneSensor stair (3),Zone_ZoneSensor stair (10),Zone_ZoneSensor stair,Zone_ZoneSensor (1),Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (7),Zone_ZoneSensor stair (5)
0,0,1000,0,0,0,10,270,246,81,403,0,0,0,0,0,0,0,0,0,0,0,0
1.01,1,999,0.0119,0,0,10,269,246,81,403,0,0,0,0,0,0,0,0,0,0,0,0
2.02,1,999,0.0214,0,0,10,269,246,81,403,0,0,0,0,0,0,0,0,0,0,0,0
3.02,1,999,0.025,0,0,10,269,246,81,403,0,0,0,0,0,0,0,0,0,0,0,0
4.02,1,999,0.0353,0,0,10,269,246,81,403,0,0,0,0,0,0,0,0,0,0,0,0
5.03,1,999,0.0419,0,0,10,269,246,81,403,0,0,0,0,0,0,0,0,0,0,0,0
6.03,3,997,0.0512,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
7.04,3,997,0.0684,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
8.05,3,997,0.0717,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
9.06,3,997,0.0782,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
10.06,3,997,0.075,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
11.07,3,997,0.0869,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
12.07,3,997,0.093,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
13.08,3,997,0.0977,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
14.08,3,997,0.1089,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
15.08,3,997,0.1126,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
16.09,3,997,0.1155,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
17.09,3,997,0.1224,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
18.09,3,997,0.1355,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
19.1,3,997,0.1442,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
20.11,3,997,0.1518,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
21.12,3,997,0.1615,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
22.13,4,996,0.1691,0,0,10,269,244,81,402,0,0,0,0,0,0,0,0,0,0,0,0
23.14,4,996,0.1708,2,0,10,269,244,81,402,0,0,0,0,0,0,0,0,0,2,0,2
