Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Seed,ActiveSigns,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair (9),Zone_ZoneSensor (1),Zone_ZoneSensor stair (8),Zone_ZoneSensor stair (4)_noSmartSign,Zone_ZoneSensor stair (2),Zone_ZoneSensor stair (1),Zone_ZoneSensor stair (3),Zone_ZoneSensor stair (10),Zone_ZoneSensor stair,Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (7),Zone_ZoneSensor stair (5)
0,0,1000,0,0,0,10,270,246,81,403,0,0,0,0,0,0,0,0,0,0,0,0
1,1,999,0.0065,0,0,10,269,246,81,403,0,0,0,0,0,0,0,0,0,0,0,0
2,1,999,0.0167,0,0,10,269,246,81,403,0,0,0,0,0,0,0,0,0,0,0,0
3.01,1,999,0.031,0,0,10,269,246,81,403,0,0,0,0,0,0,0,0,0,0,0,0
4.02,1,999,0.0394,0,0,10,269,246,81,403,0,0,0,0,0,0,0,0,0,0,0,0
5.02,1,999,0.0452,0,0,10,269,246,81,403,0,0,0,0,0,0,0,0,0,0,0,0
6.02,1,999,0.051,0,0,10,269,246,81,403,0,0,0,0,0,0,0,0,0,0,0,0
7.02,2,998,0.0599,0,0,10,269,245,81,403,0,0,0,0,0,0,0,0,0,0,0,0
8.03,2,998,0.062,0,0,10,269,245,81,403,0,0,0,0,0,0,0,0,0,0,0,0
9.04,2,998,0.0646,0,0,10,269,245,81,403,0,0,0,0,0,0,0,0,0,0,0,0
10.04,2,998,0.0735,0,0,10,269,245,81,403,0,0,0,0,0,0,0,0,0,0,0,0
11.05,2,998,0.0864,0,0,10,269,245,81,403,0,0,0,0,0,0,0,0,0,0,0,0
12.06,2,998,0.0949,0,0,10,269,245,81,403,0,0,0,0,0,0,0,0,0,0,0,0
13.06,2,998,0.1101,0,0,10,269,245,81,403,0,0,0,0,0,0,0,0,0,0,0,0
14.07,2,998,0.1157,0,0,10,269,245,81,403,0,0,0,0,0,0,0,0,0,0,0,0
15.12,2,998,0.1142,0,0,10,269,245,81,403,0,0,0,0,0,0,0,0,0,0,0,0
16.13,2,998,0.1174,0,0,10,269,245,81,403,0,0,0,0,0,0,0,0,0,0,0,0
17.13,2,998,0.1253,0,0,10,269,245,81,403,0,0,0,0,0,0,0,0,0,0,0,0
18.13,2,998,0.1323,2,0,10,269,245,82,402,2,0,0,0,0,0,0,0,0,0,0,0
19.15,4,996,0.1424,0,0,10,267,245,82,402,0,0,0,0,0,0,0,0,0,0,0,0
20.15,4,996,0.1474,2,0,10,267,245,83,401,0,0,0,0,0,0,0,0,0,0,2,0
21.16,4,996,0.154,2,0,10,267,245,84,400,0,0,0,0,0,0,0,0,0,0,2,0
22.16,4,996,0.1629,2,0,10,267,245,85,399,0,0,0,0,0,0,0,0,0,0,2,0
23.17,4,996,0.1735,0,0,10,267,245,85,399,0,0,0,0,0,0,0,0,0,0,0,0
24.18,4,996,0.1835,0,0,10,267,245,85,399,0,0,0,0,0,0,0,0,0,0,0,0
25.18,4,996,0.1864,2,0,10,267,245,85,399,0,2,0,0,0,0,0,0,0,0,0,0
26.19,6,994,0.1928,2,0,10,267,245,85,397,0,0,0,2,0,0,0,0,0,0,0,0
27.19,8,992,0.1986,2,0,10,266,245,84,397,0,0,0,2,0,0,0,0,0,0,0,0
28.19,8,992,0.2018,4,0,10,266,245,86,395,0,0,0,2,0,0,0,0,0,0,4,0
29.2,9,991,0.2075,2,0,10,266,245,86,394,0,0,0,2,0,0,0,0,0,0,0,0
30.21,9,991,0.2238,0,0,10,266,245,86,394,0,0,0,0,0,0,0,0,0,0,0,0
31.22,9,991,0.2358,2,0,10,266,245,87,393,0,0,2,2,0,0,0,0,0,0,0,0
32.22,9,991,0.2561,2,0,10,266,245,87,393,0,0,2,2,0,0,0,0,0,0,0,0
33.23,9,991,0.2606,2,0,10,266,245,87,393,0,2,0,2,0,0,0,0,0,0,0,0
34.24,11,989,0.2534,2,0,10,266,245,86,392,0,0,0,2,0,0,0,0,0,0,0,0
35.24,11,989,0.268,2,0,10,266,245,87,391,0,2,2,0,0,0,0,0,0,0,0,0
36.24,12,988,0.275,2,0,10,266,245,87,390,0,2,0,0,0,0,0,0,0,0,2,0
37.25,13,987,0.2848,2,0,10,265,245,87,390,0,2,0,0,0,0,0,0,0,2,0,0
38.26,15,985,0.2901,2,0,10,264,245,87,389,0,0,0,0,0,0,0,0,0,2,0,0
39.26,16,984,0.2834,2,0,10,263,246,86,389,0,0,0,0,2,0,0,0,0,2,0,2
40.27,16,984,0.2928,2,0,10,263,246,86,389,0,0,0,0,2,0,0,0,0,2,2,2
41.28,17,983,0.3055,2,0,10,263,246,86,388,0,0,0,0,0,0,0,0,0,0,2,2
42.29,18,982,0.313,2,0,10,263,245,86,388,0,0,0,0,0,0,0,0,0,0,0,2
43.3,19,981,0.3214,2,0,10,263,245,85,388,0,0,0,0,0,0,0,0,0,0,0,2
44.3,20,980,0.3317,4,0,10,263,245,85,387,0,0,0,0,0,0,0,0,0,0,4,2
45.31,21,979,0.3299,2,0,10,263,245,85,386,0,0,0,0,0,0,0,0,0,0,2,2
46.32,22,978,0.3417,4,0,10,262,245,85,386,0,4,0,0,0,0,0,0,0,0,4,4
47.32,24,976,0.3421,4,0,10,262,245,86,383,2,2,2,0,0,0,0,0,0,0,4,2
48.33,28,972,0.3372,4,0,10,259,245,86,382,0,0,0,0,0,0,0,0,0,0,0,4
49.34,29,971,0.3481,6,0,10,258,245,87,381,0,2,2,2,0,0,0,0,0,2,0,6
50.36,33,967,0.347,6,0,10,257,244,86,380,0,2,2,6,0,0,0,0,0,2,0,6
51.37,38,962,0.3493,6,0,10,256,243,85,378,0,0,2,6,0,0,0,0,0,2,0,4
52.37,40,960,0.3588,6,0,10,255,242,85,378,0,2,0,6,0,0,0,0,0,2,0,4
53.38,42,958,0.3656,4,0,10,255,242,84,377,0,0,0,4,0,0,0,0,0,2,0,0
54.39,42,958,0.3647,4,0,10,255,242,85,376,0,2,2,4,0,0,0,0,0,2,0,0
55.4,44,956,0.3767,2,0,10,255,241,86,374,0,0,2,2,0,2,0,0,0,2,0,0
56.41,44,956,0.3817,4,0,10,255,241,86,374,0,2,0,2,0,2,0,0,0,4,0,0
57.41,45,955,0.3858,4,0,10,255,241,87,372,2,0,0,4,0,0,0,0,0,4,0,0
58.42,45,955,0.3903,4,0,10,254,242,88,371,2,0,0,2,2,0,0,0,0,4,2,0
59.42,47,953,0.3929,2,0,10,254,242,87,370,2,0,0,2,2,0,0,0,0,2,2,0
60.43,47,953,0.4044,2,0,10,254,242,88,369,0,0,2,2,0,0,0,0,0,2,2,0
61.44,48,952,0.4036,2,0,10,254,241,89,368,2,0,2,2,0,0,0,0,0,2,0,0
62.44,49,951,0.408,2,0,10,253,241,89,368,0,2,0,2,0,0,0,0,0,2,2,0
63.44,53,947,0.4107,2,0,10,252,240,87,368,0,2,0,0,0,0,0,0,0,2,0,0
