AgentID,SpawnZone,EscapeTime(s),ExitUsed,Seed,ActiveSigns
926,stand,0.53,Exit_Sub3,0,10
757,pedestal,6.17,Exit_Sub2,0,10
900,School Table,18.48,Exit_Sub3,0,10
542,pedestal,19.11,Exit_Sub3,0,10
452,Typical School Chair and Table 17,25.54,Exit_Sub_Main,0,10
797,Typical School Chair and Table 4,25.58,Exit_Sub_Main,0,10
504,School Table,26.23,Exit_Sub1,0,10
811,Typical School Chair and Table 19,26.63,Exit_Sub3,0,10
638,School Table,28.47,Exit_Sub_Main,0,10
834,School Table,33.56,Exit_Sub_Main,0,10
940,Typical School Chair and Table 16,33.76,Exit_Sub1,0,10
480,pedestal,35.28,Exit_Sub_Main,0,10
698,School Table,36.72,Exit_Sub3,0,10
423,School Table,37.46,Exit_Sub_Main,0,10
906,Typical School Chair and Table 17,37.58,Exit_Sub3,0,10
715,Typical School Chair and Table 5,38.78,Exit_Sub_Main,0,10
772,pedestal,40.86,Exit_Sub_Main,0,10
278,Typical School Chair and Table 18,41.46,Exit_Sub2,0,10
939,School Table,42.96,Exit_Sub_Main,0,10
3,School Table,43.44,Exit_Sub_Main,0,10
736,Typical School Chair and Table 17,44.50,Exit_Sub_Main,0,10
647,School Table,46.22,Exit_Sub3,0,10
372,Typical School Chair and Table 12,46.66,Exit_Sub_Main,0,10
539,Typical School Chair and Table 1,46.99,Exit_Sub_Main,0,10
649,School Table,47.68,Exit_Sub_Main,0,10
677,School Table,47.80,Exit_Sub3,0,10
872,Typical School Chair and Table 2,48.26,Exit_Sub3,0,10
102,Typical School Chair and Table 4,48.33,Exit_Sub3,0,10
686,Typical School Chair and Table 14,48.90,Exit_Sub3,0,10
512,Typical School Chair and Table 14,49.76,Exit_Sub_Main,0,10
610,School Table,49.76,Exit_Sub2,0,10
526,Typical School Chair and Table 15,50.21,Exit_Sub3,0,10
259,School Table,50.34,Exit_Sub_Main,0,10
728,pedestal,50.53,Exit_Sub2,0,10
791,Typical School Chair and Table 11,50.74,Exit_Sub_Main,0,10
822,Typical School Chair and Table 9,50.84,Exit_Sub3,0,10
978,Typical School Chair and Table 10,50.94,Exit_Sub1,0,10
175,Typical School Chair and Table 15,51.32,Exit_Sub_Main,0,10
238,pedestal,51.68,Exit_Sub2,0,10
224,School Table,51.86,Exit_Sub3,0,10
180,Typical School Chair and Table 15,53.10,Exit_Sub1,0,10
748,Typical School Chair and Table 1,53.19,Exit_Sub_Main,0,10
280,Typical School Chair and Table 4,55.12,Exit_Sub_Main,0,10
166,Typical School Chair and Table 16,55.19,Exit_Sub2,0,10
128,Typical School Chair and Table 9,56.70,Exit_Sub_Main,0,10
675,Typical School Chair and Table 7,58.45,Exit_Sub1,0,10
768,School Table,59.30,Exit_Sub_Main,0,10
193,School Table,60.73,Exit_Sub2,0,10
317,Group 5639,62.20,Exit_Sub3,0,10
151,School Table,62.76,Exit_Sub2,0,10
789,Typical School Chair and Table 15,62.78,Exit_Sub1,0,10
229,pedestal,62.87,Exit_Sub3,0,10
744,Typical School Chair and Table 4,63.34,Exit_Sub_Main,0,10
823,Typical School Chair and Table 9,63.54,Exit_Sub_Main,0,10
722,School Table,64.50,Exit_Sub_Main,0,10
520,pedestal,64.63,Exit_Sub3,0,10
774,School Table,64.63,Exit_Sub1,0,10
61,Typical School Chair and Table 5,64.65,Exit_Sub3,0,10
682,Typical School Chair and Table 9,64.65,Exit_Sub_Main,0,10
25,School Table,65.12,Exit_Sub_Main,0,10
756,Typical School Chair and Table 10,65.66,Exit_Sub2,0,10
954,School Table,66.12,Exit_Sub_Main,0,10
634,School Table,66.83,Exit_Sub3,0,10
46,School Table,67.54,Exit_Sub1,0,10
875,School Table,67.95,Exit_Sub1,0,10
215,Typical School Chair and Table 5,67.96,Exit_Sub_Main,0,10
11,Typical School Chair and Table 18,68.06,Exit_Sub3,0,10
363,School Table,68.08,Exit_Sub_Main,0,10
355,pedestal,68.35,Exit_Sub1,0,10
683,pedestal,68.35,Exit_Sub2,0,10
810,School Table,68.59,Exit_Sub_Main,0,10
495,Typical School Chair and Table 14,68.74,Exit_Sub2,0,10
764,Typical School Chair and Table 19,68.87,Exit_Sub3,0,10
661,School Table,69.42,Exit_Sub1,0,10
947,School Table,69.63,Exit_Sub3,0,10
929,Typical School Chair and Table 10,70.03,Exit_Sub1,0,10
252,School Table,70.61,Exit_Sub3,0,10
443,School Table,71.88,Exit_Sub_Main,0,10
865,School Table,72.24,Exit_Sub2,0,10
444,Typical School Chair and Table 13,72.68,Exit_Sub_Main,0,10
532,Typical School Chair and Table 18,74.20,Exit_Sub1,0,10
866,Typical School Chair and Table 17,74.54,Exit_Sub_Main,0,10
149,School Table,74.96,Exit_Sub_Main,0,10
575,Typical School Chair and Table 20,76.63,Exit_Sub2,0,10
188,Typical School Chair and Table 19,76.96,Exit_Sub_Main,0,10
878,School Table,79.07,Exit_Sub2,0,10
998,School Table,79.15,Exit_Sub3,0,10
424,Typical School Chair and Table 18,80.22,Exit_Sub_Main,0,10
551,School Table,80.30,Exit_Sub3,0,10
627,Typical School Chair and Table 14,80.77,Exit_Sub_Main,0,10
755,School Table,80.98,Exit_Sub2,0,10
564,Typical School Chair and Table 9,81.19,Exit_Sub_Main,0,10
580,School Table,81.80,Exit_Sub1,0,10
283,School Table,82.41,Exit_Sub_Main,0,10
691,Typical School Chair and Table 3,84.23,Exit_Sub3,0,10
658,Typical School Chair and Table 7,84.28,Exit_Sub2,0,10
245,Typical School Chair and Table 19,84.43,Exit_Sub2,0,10
708,Typical School Chair and Table 9,85.63,Exit_Sub2,0,10
131,School Table,87.60,Exit_Sub3,0,10
48,School Table,87.86,Exit_Sub_Main,0,10
338,School Table,88.67,Exit_Sub3,0,10
843,Typical School Chair and Table,89.01,Exit_Sub_Main,0,10
380,School Table,90.39,Exit_Sub2,0,10
780,Typical School Chair and Table 17,91.63,Exit_Sub_Main,0,10
51,School Table,92.42,Exit_Sub3,0,10
235,Typical School Chair and Table 2,92.62,Exit_Sub2,0,10
527,School Table,92.96,Exit_Sub_Main,0,10
56,School Table,93.18,Exit_Sub_Main,0,10
984,Typical School Chair and Table 12,93.43,Exit_Sub3,0,10
447,Typical School Chair and Table 2,93.84,Exit_Sub3,0,10
32,School Table,93.91,Exit_Sub3,0,10
831,Typical School Chair and Table 16,94.42,Exit_Sub3,0,10
159,School Table,94.54,Exit_Sub3,0,10
439,School Table,95.44,Exit_Sub_Main,0,10
14,Typical School Chair and Table 1,95.65,Exit_Sub3,0,10
885,Typical School Chair and Table 14,95.68,Exit_Sub3,0,10
516,Typical School Chair and Table 20,96.12,Exit_Sub_Main,0,10
628,Typical School Chair and Table,96.34,Exit_Sub3,0,10
971,School Table,96.38,Exit_Sub3,0,10
576,Typical School Chair and Table 2,96.39,Exit_Sub2,0,10
485,School Table,96.91,Exit_Sub1,0,10
541,Typical School Chair and Table 18,97.15,Exit_Sub3,0,10
155,School Table,97.22,Exit_Sub3,0,10
568,Typical School Chair and Table 16,97.38,Exit_Sub3,0,10
963,School Table,97.44,Exit_Sub_Main,0,10
825,School Table,97.86,Exit_Sub3,0,10
674,School Table,97.93,Exit_Sub1,0,10
601,Typical School Chair and Table 5,98.20,Exit_Sub_Main,0,10
97,Typical School Chair and Table 13,98.76,Exit_Sub3,0,10
310,Typical School Chair and Table 13,98.88,Exit_Sub3,0,10
589,pedestal,98.89,Exit_Sub2,0,10
167,Typical School Chair and Table 5,99.11,Exit_Sub3,0,10
717,School Table,99.12,Exit_Sub2,0,10
500,Typical School Chair and Table 19,99.17,Exit_Sub_Main,0,10
651,School Table,99.42,Exit_Sub3,0,10
453,School Table,99.60,Exit_Sub2,0,10
