Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Seed,ActiveSigns,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor (1),Zone_ZoneSensor stair (4)_noSmartSign,Zone_ZoneSensor stair (2),Zone_ZoneSensor stair (5)
0.00,0,1000,0.0000,0,0,2,270,246,81,403,0,0,0,0
1.00,1,999,0.0088,0,0,2,269,246,81,403,0,0,0,0
2.02,1,999,0.0118,0,0,2,269,246,81,403,0,0,0,0
3.02,1,999,0.0159,0,0,2,269,246,81,403,0,0,0,0
4.02,1,999,0.0222,0,0,2,269,246,81,403,0,0,0,0
5.03,1,999,0.0339,0,0,2,269,246,81,403,0,0,0,0
6.03,1,999,0.0436,0,0,2,269,246,81,403,0,0,0,0
7.04,1,999,0.0529,0,0,2,269,246,81,403,0,0,0,0
8.04,1,999,0.0661,0,0,2,269,246,81,403,0,0,0,0
9.04,2,998,0.0718,0,0,2,268,246,81,403,0,0,0,0
10.05,2,998,0.0851,0,0,2,268,246,81,403,0,0,0,0
11.05,2,998,0.0873,0,0,2,268,246,81,403,0,0,0,0
12.06,2,998,0.0962,0,0,2,268,246,81,403,0,0,0,0
13.07,2,998,0.1086,0,0,2,268,246,81,403,0,0,0,0
14.08,4,996,0.1172,0,0,2,267,245,81,403,0,0,0,0
15.09,4,996,0.1304,0,0,2,267,245,81,403,0,0,0,0
16.10,5,995,0.1332,0,0,2,266,245,81,403,0,0,0,0
17.11,5,995,0.1430,0,0,2,266,245,81,403,0,0,0,0
18.12,6,994,0.1513,0,0,2,266,245,81,402,0,0,0,0
19.12,6,994,0.1696,0,0,2,266,245,81,402,0,0,0,0
20.13,6,994,0.1711,2,0,2,266,245,81,402,0,0,0,2
21.13,6,994,0.1812,2,0,2,266,245,81,402,0,0,0,2
22.14,6,994,0.1796,2,0,2,266,245,81,402,0,0,0,2
23.14,6,994,0.1832,2,0,2,266,245,81,402,0,0,0,2
24.15,6,994,0.1919,2,0,2,266,245,81,402,0,0,0,2
25.16,6,994,0.2075,2,0,2,266,245,81,402,0,0,0,2
26.16,7,993,0.2177,2,0,2,266,244,81,402,0,0,0,2
27.16,7,993,0.2294,0,0,2,266,244,81,402,0,0,0,0
28.17,7,993,0.2407,0,0,2,266,244,81,402,0,0,0,0
29.18,7,993,0.2424,0,0,2,266,244,81,402,0,0,0,0
30.19,8,992,0.2568,2,0,2,266,243,81,402,0,2,0,0
31.19,8,992,0.2623,2,0,2,266,243,81,402,2,2,0,0
32.20,10,990,0.2623,2,0,2,266,243,80,401,0,2,0,0
33.21,10,990,0.2703,4,0,2,266,243,80,401,0,4,0,2
34.21,11,989,0.2730,2,0,2,266,242,80,401,0,2,0,2
35.23,11,989,0.2755,2,0,2,266,242,80,401,2,2,0,2
36.23,12,988,0.2866,2,0,2,266,242,80,400,0,2,0,2
37.24,12,988,0.2884,2,0,2,266,242,80,400,2,2,0,2
38.24,12,988,0.2889,2,0,2,266,242,80,400,2,2,0,0
39.24,14,986,0.2897,4,0,2,266,242,78,400,4,0,0,0
40.25,15,985,0.2982,2,0,2,266,242,78,399,2,0,0,0
41.26,17,983,0.3008,2,0,2,265,242,78,398,0,0,0,2
42.27,17,983,0.3040,2,0,2,265,242,78,398,0,0,0,2
43.28,18,982,0.3033,4,0,2,265,241,78,398,0,0,0,4
44.28,18,982,0.3071,4,0,2,265,241,78,398,2,0,0,4
45.28,21,979,0.3098,6,0,2,264,240,78,397,2,0,0,6
46.29,24,976,0.3115,6,0,2,262,240,78,396,2,0,0,6
47.30,25,975,0.3184,6,0,2,262,240,78,395,2,0,0,6
48.31,27,973,0.3309,6,0,2,261,239,78,395,2,0,0,6
49.31,29,971,0.3281,2,0,2,260,239,78,394,0,0,0,2
50.31,30,970,0.3372,0,0,2,260,239,78,393,0,0,0,0
51.32,32,968,0.3451,0,0,2,260,237,78,393,0,0,0,0
52.33,34,966,0.3511,0,0,2,260,235,78,393,0,0,0,0
53.33,36,964,0.3520,2,0,2,258,235,78,393,0,2,0,0
54.34,38,962,0.3505,2,0,2,258,234,78,392,0,2,0,0
55.35,43,957,0.3473,2,0,2,257,233,78,389,0,2,0,0
56.36,43,957,0.3523,2,0,2,257,233,78,389,0,2,0,0
57.38,45,955,0.3606,4,0,2,257,232,78,388,2,0,0,4
58.38,49,951,0.3558,4,0,2,256,232,77,386,0,0,0,4
59.39,51,949,0.3637,6,0,2,256,231,77,385,2,0,0,6
60.39,52,948,0.3781,6,0,2,256,231,77,384,2,0,0,6
61.40,53,947,0.3868,6,0,2,256,231,77,383,0,0,0,6
62.41,56,944,0.3765,4,0,2,255,230,76,383,2,0,0,4
63.41,57,943,0.3862,4,0,2,255,230,76,382,0,0,0,4
64.42,58,942,0.3902,2,0,2,255,230,76,381,0,0,0,2
65.42,60,940,0.3915,2,0,2,253,230,76,381,0,2,0,2
66.42,61,939,0.4116,2,0,2,253,229,76,381,0,2,0,0
67.43,62,938,0.4102,2,0,2,253,228,76,381,0,2,0,2
68.45,65,935,0.4279,2,0,2,251,228,76,380,0,2,0,2
69.45,66,934,0.4356,2,0,2,251,228,76,379,2,0,0,2
70.46,67,933,0.4494,4,0,2,251,228,76,378,0,0,0,4
71.46,68,932,0.4526,2,0,2,251,228,75,378,2,0,0,2
72.46,72,928,0.4606,2,0,2,250,228,74,376,2,0,2,2
73.47,73,927,0.4637,2,0,2,250,228,74,375,2,0,2,2
74.47,73,927,0.4713,4,0,2,250,228,74,375,4,0,0,2
75.48,78,922,0.4684,6,0,2,249,226,74,373,6,0,0,0
76.49,82,918,0.4760,6,0,2,248,225,74,371,6,0,0,0
77.50,84,916,0.4813,2,0,2,248,225,74,369,2,0,0,0
78.51,86,914,0.4841,2,0,2,246,225,74,369,0,0,0,2
79.52,86,914,0.4806,4,0,2,246,225,74,369,0,0,0,4
80.53,87,913,0.4890,4,0,2,246,224,74,369,0,2,0,4
81.53,89,911,0.5043,4,0,2,244,224,74,369,0,2,0,4
82.54,90,910,0.5079,4,0,2,244,224,73,369,0,2,0,4
83.54,91,909,0.5114,2,0,2,243,224,73,369,0,2,0,2
84.54,91,909,0.5213,4,0,2,243,224,73,369,0,0,0,4
85.56,94,906,0.5170,4,0,2,243,223,73,367,2,0,0,4
86.56,97,903,0.5240,6,0,2,241,223,72,367,6,2,0,4
87.56,103,897,0.5208,6,0,2,239,221,71,366,6,2,0,6
88.57,110,890,0.5141,6,0,2,237,221,71,361,2,2,0,6
89.57,110,890,0.5225,6,0,2,237,221,71,361,0,2,0,6
90.57,113,887,0.5269,2,0,2,237,221,69,360,2,2,0,2
91.58,118,882,0.5289,2,0,2,236,220,69,357,2,0,2,0
92.59,120,880,0.5206,2,0,2,236,219,69,356,0,2,2,0
93.60,123,877,0.5258,6,0,2,236,216,69,356,2,6,0,0
94.61,126,874,0.5404,8,0,2,236,216,68,354,0,8,0,0
95.61,130,870,0.5288,10,0,2,235,214,67,354,2,10,0,2
96.62,131,869,0.5447,10,0,2,235,214,67,353,0,10,0,2
97.62,131,869,0.5504,8,0,2,235,214,67,353,0,8,0,2
98.63,136,864,0.5498,8,0,2,232,213,67,352,2,8,0,2
99.63,140,860,0.5578,4,0,2,230,212,67,351,0,4,2,2
100.64,145,855,0.5669,2,0,2,227,212,67,349,0,0,2,0
101.66,146,854,0.5927,0,0,2,227,212,67,348,0,0,0,0
102.67,152,848,0.5824,0,0,2,226,212,67,343,0,0,0,0
