Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Seed,ActiveSigns,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair (4)_noSmartSign,Zone_ZoneSensor stair (2),Zone_ZoneSensor (1),Zone_ZoneSensor stair (5)
0,0,1000,0,0,0,2,270,246,81,403,0,0,0,0
1,1,999,0.0122,0,0,2,269,246,81,403,0,0,0,0
2.01,1,999,0.0167,0,0,2,269,246,81,403,0,0,0,0
3.02,1,999,0.0276,0,0,2,269,246,81,403,0,0,0,0
4.03,1,999,0.0347,0,0,2,269,246,81,403,0,0,0,0
5.03,2,998,0.0499,0,0,2,269,245,81,403,0,0,0,0
6.04,2,998,0.0585,0,0,2,269,245,81,403,0,0,0,0
7.04,2,998,0.0623,0,0,2,269,245,81,403,0,0,0,0
8.04,3,997,0.0667,0,0,2,268,245,81,403,0,0,0,0
9.05,3,997,0.0774,0,0,2,268,245,81,403,0,0,0,0
10.06,3,997,0.0844,0,0,2,268,245,81,403,0,0,0,0
11.07,3,997,0.0963,0,0,2,268,245,81,403,0,0,0,0
12.08,3,997,0.1029,0,0,2,268,245,81,403,0,0,0,0
13.09,3,997,0.1121,0,0,2,268,245,81,403,0,0,0,0
14.1,3,997,0.1173,0,0,2,268,245,81,403,0,0,0,0
15.11,4,996,0.1219,0,0,2,268,244,81,403,0,0,0,0
16.11,4,996,0.1289,0,0,2,268,244,81,403,0,0,0,0
17.12,4,996,0.1353,0,0,2,268,244,81,403,0,0,0,0
18.12,4,996,0.1375,2,0,2,268,244,81,403,0,0,2,0
19.13,4,996,0.1452,2,0,2,268,244,81,403,0,0,2,0
20.14,4,996,0.1533,2,0,2,268,244,81,403,0,0,2,0
21.15,5,995,0.1695,0,0,2,268,244,81,402,0,0,0,0
22.15,5,995,0.175,2,0,2,268,244,81,402,2,0,0,0
23.16,7,993,0.1885,2,0,2,267,244,80,402,2,0,0,0
24.16,7,993,0.1968,2,0,2,267,244,80,402,2,0,0,0
25.16,7,993,0.1992,0,0,2,267,244,80,402,0,0,0,0
26.17,7,993,0.2097,2,0,2,267,244,80,402,2,0,0,0
27.18,7,993,0.2118,2,0,2,267,244,80,402,2,0,0,0
28.19,10,990,0.2154,2,0,2,266,242,80,402,2,0,0,2
29.2,10,990,0.2165,2,0,2,266,242,80,402,2,0,0,2
30.21,10,990,0.2206,2,0,2,265,243,80,402,0,2,0,2
31.21,11,989,0.2334,2,0,2,265,243,80,401,0,2,0,2
32.22,12,988,0.2557,0,0,2,264,243,80,401,0,0,0,0
33.23,13,987,0.269,2,0,2,263,243,80,401,0,0,0,2
34.23,14,986,0.2723,2,0,2,262,243,80,401,0,0,2,2
35.24,15,985,0.2717,2,0,2,262,243,80,400,0,0,2,2
36.25,18,982,0.2776,4,0,2,262,241,80,399,0,0,0,4
37.26,19,981,0.2925,4,0,2,261,241,80,399,2,0,0,4
38.27,21,979,0.3019,4,0,2,260,240,80,399,2,0,2,4
39.29,22,978,0.3035,2,0,2,260,240,80,398,2,0,0,2
40.29,23,977,0.3158,6,0,2,260,240,80,397,2,0,0,6
41.3,24,976,0.3295,8,0,2,260,240,79,397,2,0,2,8
42.3,25,975,0.3304,8,0,2,260,240,79,396,0,0,0,8
43.3,28,972,0.334,8,0,2,260,239,78,395,0,0,0,8
44.31,28,972,0.3479,4,0,2,260,239,78,395,0,0,0,4
45.33,28,972,0.3532,2,0,2,260,239,78,395,0,0,2,2
46.33,32,968,0.3467,2,0,2,259,238,78,393,0,0,2,0
47.34,35,965,0.3583,2,0,2,258,237,78,392,0,0,2,0
48.35,36,964,0.3614,2,0,2,258,237,78,391,0,0,0,2
49.35,37,963,0.365,2,0,2,258,237,77,391,2,0,0,2
50.36,37,963,0.372,2,0,2,258,237,77,391,2,0,0,2
51.37,37,963,0.386,2,0,2,258,237,77,391,2,0,2,2
52.38,38,962,0.3894,4,0,2,258,237,77,390,2,0,4,0
53.39,40,960,0.3953,2,0,2,257,237,77,389,0,0,2,0
54.4,43,957,0.3984,2,0,2,257,237,77,386,2,0,0,0
55.41,44,956,0.4058,2,0,2,257,237,76,386,2,0,0,0
56.41,44,956,0.4098,2,0,2,257,237,76,386,2,0,2,0
57.42,46,954,0.413,4,0,2,257,236,76,385,2,0,4,2
58.43,46,954,0.4119,4,0,2,257,236,76,385,0,0,4,2
59.43,47,953,0.4163,8,0,2,256,236,76,385,0,0,8,2
60.44,51,949,0.4153,8,0,2,254,236,76,383,0,0,8,2
61.45,55,945,0.4192,2,0,2,254,235,76,380,0,0,2,2
62.46,59,941,0.4195,2,0,2,253,234,76,378,0,0,2,2
63.46,61,939,0.4287,4,0,2,253,232,76,378,0,0,4,2
64.48,61,939,0.4377,4,0,2,253,232,76,378,0,0,4,2
65.49,63,937,0.438,4,0,2,253,231,75,378,0,0,4,4
