Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Seed,ActiveSigns,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair (8),Zone_ZoneSensor stair (4)_noSmartSign,Zone_ZoneSensor stair (2),Zone_ZoneSensor stair (3),Zone_ZoneSensor stair,Zone_ZoneSensor (1),Zone_ZoneSensor stair (5)
0,0,1000,0,0,0,5,270,246,81,403,0,0,0,0,0,0,0
1,1,999,0.0196,0,0,5,269,246,81,403,0,0,0,0,0,0,0
2.01,1,999,0.0278,0,0,5,269,246,81,403,0,0,0,0,0,0,0
3.02,2,998,0.0359,0,0,5,269,245,81,403,0,0,0,0,0,0,0
4.03,2,998,0.0425,0,0,5,269,245,81,403,0,0,0,0,0,0,0
5.04,2,998,0.0552,0,0,5,269,245,81,403,0,0,0,0,0,0,0
6.05,2,998,0.0634,0,0,5,269,245,81,403,0,0,0,0,0,0,0
7.06,2,998,0.072,0,0,5,269,245,81,403,0,0,0,0,0,0,0
8.06,3,997,0.0771,0,0,5,269,244,81,403,0,0,0,0,0,0,0
9.06,4,996,0.0899,0,0,5,268,244,81,403,0,0,0,0,0,0,0
10.07,4,996,0.1058,0,0,5,268,244,81,403,0,0,0,0,0,0,0
11.08,4,996,0.1071,0,0,5,268,244,81,403,0,0,0,0,0,0,0
12.09,4,996,0.1136,0,0,5,268,244,81,403,0,0,0,0,0,0,0
13.1,4,996,0.1198,0,0,5,268,244,81,403,0,0,0,0,0,0,0
14.11,4,996,0.1247,0,0,5,268,244,81,403,0,0,0,0,0,0,0
15.12,4,996,0.1245,0,0,5,268,244,81,403,0,0,0,0,0,0,0
16.12,4,996,0.121,0,0,5,268,244,81,403,0,0,0,0,0,0,0
17.14,4,996,0.1322,0,0,5,268,244,81,403,0,0,0,0,0,0,0
18.14,4,996,0.137,0,0,5,268,244,81,403,0,0,0,0,0,0,0
19.14,4,996,0.1454,0,0,5,268,244,81,403,0,0,0,0,0,0,0
20.14,4,996,0.1533,2,0,5,268,244,81,403,0,0,0,0,0,2,0
21.16,5,995,0.1705,0,0,5,268,244,81,402,0,0,0,0,0,0,0
22.16,5,995,0.173,0,0,5,268,244,81,402,0,0,0,0,0,0,0
23.17,5,995,0.1791,2,0,5,268,244,81,402,0,0,0,0,0,2,0
24.18,6,994,0.1849,2,0,5,268,244,81,401,0,0,0,0,0,2,0
25.18,7,993,0.1944,0,0,5,268,244,81,400,0,0,0,0,0,0,0
26.2,8,992,0.1974,0,0,5,267,244,81,400,0,0,0,0,0,0,0
27.2,9,991,0.2042,4,0,5,267,243,81,400,0,0,0,0,0,4,0
28.2,11,989,0.2111,0,0,5,267,243,81,398,0,0,0,0,0,0,0
29.21,11,989,0.2127,2,0,5,267,243,82,397,2,0,0,0,0,0,0
30.22,11,989,0.2207,0,0,5,267,243,82,397,0,0,0,0,0,0,0
31.22,11,989,0.2349,2,0,5,267,243,82,397,0,0,0,0,0,2,0
32.23,13,987,0.236,0,0,5,267,242,82,396,0,0,0,0,0,0,0
33.24,13,987,0.2424,4,0,5,267,242,82,396,0,4,0,0,0,0,0
34.25,14,986,0.2406,4,0,5,267,242,82,395,0,4,0,0,2,2,0
35.26,16,984,0.2566,6,0,5,266,242,82,394,0,6,0,0,2,0,0
36.27,16,984,0.2653,6,0,5,266,242,82,394,0,6,0,0,0,2,2
37.27,19,981,0.2657,6,0,5,264,242,82,393,0,6,0,0,0,0,2
38.28,19,981,0.2836,4,0,5,264,242,82,393,0,4,0,0,0,0,2
39.28,20,980,0.2801,0,0,5,263,242,82,393,0,0,0,0,0,0,0
40.3,20,980,0.3071,2,0,5,263,242,82,393,2,0,0,0,0,0,0
41.3,22,978,0.3079,2,0,5,263,240,83,392,2,0,0,0,0,2,0
42.31,23,977,0.3094,2,0,5,263,240,83,391,2,0,0,0,0,2,2
43.31,26,974,0.32,2,0,5,262,239,83,390,0,0,0,0,0,0,2
44.33,28,972,0.325,4,0,5,262,239,82,389,0,0,0,0,0,2,4
45.34,30,970,0.3363,4,0,5,261,239,82,388,0,0,0,0,0,2,4
46.34,32,968,0.3414,6,0,5,261,239,82,386,0,0,0,0,0,0,6
47.35,32,968,0.3461,4,0,5,261,239,82,386,0,0,0,0,0,2,4
48.36,33,967,0.3465,6,0,5,261,239,82,385,0,2,0,0,0,2,6
49.37,35,965,0.3485,6,0,5,260,239,83,383,2,4,0,0,0,0,6
50.38,36,964,0.3532,4,0,5,260,238,83,383,0,4,0,0,0,0,4
51.38,37,963,0.3554,4,0,5,260,237,83,383,0,4,0,0,0,0,2
52.4,40,960,0.3558,4,0,5,259,236,83,382,0,2,0,0,0,4,0
53.4,41,959,0.3647,2,0,5,259,236,83,381,0,0,0,0,0,2,0
54.41,42,958,0.3738,0,0,5,259,236,83,380,0,0,0,0,0,0,0
55.42,43,957,0.3746,2,0,5,259,236,83,379,0,0,0,0,0,0,2
56.43,44,956,0.3802,4,0,5,259,235,84,378,2,0,0,0,0,0,4
57.43,46,954,0.3788,4,0,5,259,235,83,377,2,0,0,0,0,0,4
58.44,48,952,0.3793,6,0,5,259,234,83,376,0,0,0,0,0,2,6
59.46,49,951,0.3917,6,0,5,259,234,84,374,2,0,0,0,0,0,6
60.46,52,948,0.3925,6,0,5,257,234,85,372,2,0,0,0,0,0,6
61.46,52,948,0.4019,6,0,5,257,234,85,372,0,0,0,0,0,2,6
62.47,54,946,0.4044,4,0,5,256,234,85,371,2,0,0,0,0,4,2
63.48,58,942,0.4174,4,0,5,256,232,84,370,2,2,0,0,0,2,4
64.49,61,939,0.3975,4,0,5,256,230,85,368,4,2,0,0,0,4,4
65.5,62,938,0.4151,4,0,5,256,230,86,366,4,2,0,0,0,2,2
66.5,63,937,0.4113,6,0,5,256,230,86,365,4,2,0,0,0,2,6
67.51,66,934,0.4168,4,0,5,255,229,86,364,2,2,0,0,0,0,4
68.52,66,934,0.4217,6,0,5,255,229,86,364,0,2,0,0,0,0,6
69.52,67,933,0.4297,6,0,5,255,228,87,363,2,2,0,0,0,2,6
70.53,70,930,0.4344,6,0,5,254,228,88,360,4,4,2,0,0,2,6
71.53,72,928,0.429,6,0,5,252,229,89,358,4,2,4,0,0,2,6
72.53,72,928,0.4398,6,0,5,252,229,89,358,4,2,0,0,0,2,6
73.54,75,925,0.445,4,0,5,251,228,91,355,4,2,0,0,0,0,4
74.56,79,921,0.4498,2,0,5,250,226,91,354,2,2,0,0,0,0,2
75.57,84,916,0.453,2,0,5,250,226,90,350,2,0,0,0,0,0,0
76.58,84,916,0.4652,2,0,5,250,226,90,350,2,0,0,0,0,0,0
77.58,85,915,0.4631,2,0,5,250,226,90,349,2,0,0,0,0,2,0
78.58,87,913,0.457,2,0,5,248,226,90,349,0,2,0,0,0,2,0
79.62,90,910,0.4611,2,0,5,247,226,89,348,0,2,0,0,0,2,0
80.63,92,908,0.4717,4,0,5,245,226,90,347,2,4,0,0,0,2,2
81.63,95,905,0.4712,6,0,5,245,226,90,344,6,4,0,0,0,2,2
82.63,98,902,0.4629,4,0,5,245,226,89,342,4,2,0,0,0,0,2
83.64,100,900,0.483,4,0,5,245,224,91,340,4,2,0,0,0,0,4
84.65,102,898,0.4889,4,0,5,244,223,91,340,2,4,0,0,0,2,4
85.66,103,897,0.4879,4,0,5,243,223,91,340,4,4,0,0,0,4,4
86.66,105,895,0.488,6,0,5,243,222,92,338,4,2,0,0,0,2,6
87.66,106,894,0.4984,8,0,5,243,221,92,338,2,0,0,0,0,2,8
88.68,109,891,0.5043,6,0,5,243,220,91,337,0,0,0,0,0,2,6
89.68,113,887,0.5108,6,0,5,243,218,92,334,2,0,0,0,0,0,6
90.68,116,884,0.5249,6,0,5,241,219,91,333,2,0,2,0,0,2,6
91.7,120,880,0.5167,6,0,5,240,219,90,331,2,0,2,0,0,0,6
92.71,123,877,0.5249,6,0,5,238,218,90,331,0,2,0,0,0,0,6
93.71,123,877,0.5331,6,0,5,238,218,90,331,0,2,0,0,0,0,6
94.71,126,874,0.5378,4,0,5,237,217,89,331,2,4,0,0,0,2,4
95.71,132,868,0.5365,4,0,5,235,215,90,328,4,4,0,0,0,0,4
96.72,135,865,0.5431,8,0,5,235,212,90,328,0,2,0,0,0,0,8
97.73,138,862,0.5369,8,0,5,234,212,90,326,4,2,2,0,4,0,8
98.74,140,860,0.5481,8,0,5,234,210,90,326,2,2,2,0,2,0,8
99.74,141,859,0.545,8,0,5,234,210,89,326,2,0,0,0,0,0,8
100.76,142,858,0.5643,8,0,5,234,210,88,326,4,0,0,0,0,0,8
101.76,142,858,0.5783,6,0,5,234,210,88,326,2,2,0,0,0,0,6
102.77,147,853,0.5906,2,0,5,231,209,87,326,0,2,0,0,0,2,2
103.78,148,852,0.5992,4,0,5,230,209,87,326,0,2,0,0,0,2,4
104.8,150,850,0.6025,4,0,5,230,208,88,324,2,2,0,0,0,2,4
105.81,154,846,0.6065,4,0,5,228,207,88,323,0,4,0,0,0,2,4
106.81,161,839,0.6084,4,0,5,226,207,86,320,2,4,0,0,0,0,4
107.81,162,838,0.6224,4,0,5,225,207,86,320,0,2,0,0,0,2,4
108.83,166,834,0.6174,6,0,5,224,205,87,318,2,0,0,0,0,0,6
109.83,173,827,0.6137,2,0,5,221,205,86,315,0,2,0,0,0,2,2
110.83,176,824,0.6121,6,0,5,219,204,87,314,2,2,0,0,0,6,2
111.84,181,819,0.6131,4,0,5,219,203,86,311,0,4,0,0,0,2,2
112.85,185,815,0.6183,4,0,5,218,203,86,308,2,4,0,0,0,0,0
113.86,188,812,0.6224,4,0,5,217,201,86,308,4,2,0,0,0,2,0
114.87,196,804,0.6261,4,0,5,214,197,86,307,4,4,0,0,2,4,2
115.88,201,799,0.6323,4,0,5,212,195,86,306,2,2,0,0,2,2,4
116.88,202,798,0.6498,6,0,5,212,195,86,305,0,2,0,0,2,2,6
117.89,208,792,0.64,8,0,5,212,192,87,301,4,2,0,0,2,0,8
118.9,212,788,0.6278,8,0,5,211,192,85,300,0,4,0,0,0,0,8
119.9,215,785,0.6573,6,0,5,211,189,86,299,2,4,0,0,0,0,6
120.91,218,782,0.6749,8,0,5,210,189,84,299,0,2,0,0,0,0,8
121.91,219,781,0.6666,8,0,5,210,189,84,298,0,4,0,0,0,0,8
122.92,219,781,0.6747,4,0,5,210,189,84,298,0,4,0,0,0,0,4
123.92,220,780,0.6866,4,0,5,209,189,84,298,0,4,0,0,0,4,2
124.93,223,777,0.7088,4,0,5,208,189,84,296,0,4,0,0,2,4,4
125.93,229,771,0.7097,6,0,5,207,188,85,291,2,6,0,0,2,6,2
126.94,231,769,0.7112,8,0,5,207,187,84,291,2,2,0,0,0,8,6
127.94,237,763,0.7151,6,0,5,204,187,83,289,0,2,0,0,0,6,6
128.95,245,755,0.7068,6,0,5,203,184,82,286,2,4,0,0,0,2,6
129.96,251,749,0.7215,8,0,5,202,182,83,282,8,2,0,0,0,2,4
130.96,254,746,0.7355,6,0,5,201,181,82,282,6,2,0,0,0,2,4
131.96,258,742,0.714,6,0,5,200,179,83,280,4,2,0,0,0,6,2
132.97,264,736,0.7239,4,0,5,199,179,81,277,4,0,0,0,0,4,2
133.98,266,734,0.7388,4,0,5,199,178,82,275,4,0,0,0,0,4,2
134.98,269,731,0.7279,6,0,5,198,178,82,273,6,0,0,0,0,2,2
135.99,276,724,0.7328,6,0,5,196,175,82,271,6,0,0,0,0,4,0
137,282,718,0.7398,6,0,5,195,173,81,269,6,2,0,0,0,2,0
138.01,287,713,0.7188,8,0,5,195,171,80,267,8,2,0,0,0,2,0
139.01,287,713,0.7412,10,0,5,195,171,81,266,10,4,0,0,0,2,0
140.02,289,711,0.752,6,0,5,195,170,80,266,6,4,0,0,0,2,2
141.02,290,710,0.7687,4,0,5,195,170,80,265,4,2,0,0,0,2,2
142.03,294,706,0.7687,4,0,5,194,167,80,265,0,0,0,0,0,4,2
143.03,301,699,0.7763,2,0,5,193,165,80,261,2,0,0,0,0,2,2
144.04,303,697,0.7819,4,0,5,193,165,80,259,4,0,0,0,0,2,2
145.05,308,692,0.7975,4,0,5,193,164,79,256,4,0,0,0,0,4,2
146.05,312,688,0.8158,4,0,5,190,164,78,256,0,0,0,0,0,4,0
147.05,312,688,0.8321,4,0,5,190,164,78,256,0,0,0,0,0,4,0
148.05,315,685,0.8221,2,0,5,189,164,79,253,2,0,0,0,0,2,0
149.05,319,681,0.8344,4,0,5,189,162,81,249,4,0,0,0,0,2,0
150.06,324,676,0.8326,4,0,5,188,160,82,246,4,0,0,0,0,2,0
151.07,334,666,0.8317,2,0,5,186,157,80,243,2,0,0,0,0,2,0
152.08,337,663,0.8392,4,0,5,186,155,80,242,2,2,0,0,0,4,0
153.08,344,656,0.8256,4,0,5,184,154,80,238,4,2,0,0,0,2,2
154.09,346,654,0.8493,4,0,5,183,154,80,237,4,2,2,0,0,2,4
155.09,351,649,0.8518,6,0,5,183,153,78,235,4,2,0,0,0,2,6
156.1,354,646,0.872,8,0,5,182,152,78,234,6,2,0,0,0,4,8
157.11,359,641,0.878,12,0,5,179,152,79,231,6,0,0,0,0,4,12
158.11,365,635,0.8914,8,0,5,178,149,78,230,2,0,0,0,0,2,8
159.11,369,631,0.9039,10,0,5,173,150,78,230,2,2,2,0,0,4,10
160.12,373,627,0.9074,14,0,5,172,150,76,229,2,2,2,0,0,6,14
161.12,377,623,0.9303,16,0,5,171,148,76,228,0,4,0,0,0,4,16
162.13,381,619,0.923,18,0,5,170,146,75,228,0,4,0,0,0,4,18
163.14,384,616,0.9461,20,0,5,168,145,75,228,0,4,0,0,0,4,20
164.14,388,612,0.9689,24,0,5,167,144,74,227,0,2,0,0,0,6,24
165.15,392,608,0.9709,22,0,5,165,142,75,226,2,2,0,0,0,6,22
166.15,394,606,0.9754,18,0,5,165,142,76,223,6,0,0,0,0,6,18
167.15,399,601,0.9799,16,0,5,161,142,76,222,6,0,0,0,2,8,16
168.15,404,596,0.9939,14,0,5,161,140,76,219,8,0,0,0,2,2,14
169.16,407,593,0.995,14,0,5,160,139,76,218,8,2,0,0,0,2,14
170.16,409,591,1.005,16,0,5,160,139,76,216,4,2,0,0,0,2,16
171.16,412,588,0.9933,12,0,5,160,138,75,215,0,4,0,0,0,2,12
172.17,415,585,0.9901,8,0,5,159,138,74,214,2,4,0,0,0,4,8
173.17,416,584,1.02,10,0,5,159,138,74,213,0,4,0,0,2,4,10
174.17,421,579,1.0348,8,0,5,159,135,73,212,4,4,0,0,0,6,8
175.19,432,568,1.052,10,0,5,157,132,74,205,4,4,0,0,0,6,10
176.19,436,564,1.0571,8,0,5,156,132,74,202,0,4,0,0,0,4,8
177.19,441,559,1.0648,10,0,5,153,131,75,200,2,0,0,0,0,6,10
178.19,442,558,1.0631,8,0,5,153,131,76,198,2,0,0,0,0,8,8
179.2,450,550,1.1,14,0,5,152,128,76,194,4,0,0,0,0,6,14
180.2,457,543,1.0685,14,0,5,152,126,73,192,4,0,0,0,2,6,14
181.21,459,541,1.0753,10,0,5,152,126,75,188,6,0,0,0,0,4,10
182.22,466,534,1.1061,6,0,5,148,124,74,188,4,2,0,0,0,6,6
183.22,474,526,1.1036,8,0,5,144,123,74,185,2,2,0,0,0,4,8
184.22,475,525,1.1208,6,0,5,143,124,74,184,0,2,2,0,0,4,6
185.23,479,521,1.1492,4,0,5,141,123,74,183,0,2,2,0,0,2,4
186.23,486,514,1.1478,2,0,5,140,123,70,181,0,2,0,0,0,2,2
187.24,491,509,1.1438,4,0,5,139,122,70,178,2,0,0,0,0,4,0
188.25,496,504,1.1694,6,0,5,138,121,71,174,6,0,0,0,0,6,2
189.25,502,498,1.1862,6,0,5,137,119,70,172,6,0,0,0,0,6,2
190.25,507,493,1.1809,4,0,5,137,117,70,169,2,0,0,0,0,4,2
191.26,510,490,1.1918,4,0,5,137,117,69,167,0,0,0,0,0,2,4
192.26,512,488,1.2176,4,0,5,137,117,68,166,0,0,0,0,0,2,4
193.27,516,484,1.2209,4,0,5,133,118,67,166,0,2,2,0,2,2,4
194.27,522,478,1.2298,4,0,5,131,116,67,164,2,2,0,0,2,4,4
195.28,530,470,1.2432,4,0,5,127,115,68,160,2,2,0,0,0,2,4
196.28,533,467,1.272,4,0,5,126,114,68,159,4,2,0,0,0,2,2
197.29,534,466,1.2991,6,0,5,125,114,69,158,6,4,0,0,0,4,0
198.29,540,460,1.3343,6,0,5,122,112,69,157,4,6,0,0,0,4,2
199.29,545,455,1.3658,6,0,5,120,112,70,153,4,6,0,0,0,6,2
200.31,550,450,1.3967,8,0,5,120,112,69,149,6,8,0,0,0,2,2
201.32,560,440,1.3973,8,0,5,116,110,67,147,4,8,0,0,0,2,2
