Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Seed,ActiveSigns,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor (1),Zone_ZoneSensor stair (8),Zone_ZoneSensor stair (4)_noSmartSign,Zone_ZoneSensor stair (2),Zone_ZoneSensor stair (3),Zone_ZoneSensor stair,Zone_ZoneSensor stair (5)
0,0,1000,0,0,0,5,270,246,81,403,0,0,0,0,0,0,0
1.01,1,999,0.011,0,0,5,269,246,81,403,0,0,0,0,0,0,0
2.01,1,999,0.016,0,0,5,269,246,81,403,0,0,0,0,0,0,0
3.02,1,999,0.0215,0,0,5,269,246,81,403,0,0,0,0,0,0,0
4.02,1,999,0.0296,0,0,5,269,246,81,403,0,0,0,0,0,0,0
5.03,1,999,0.0433,0,0,5,269,246,81,403,0,0,0,0,0,0,0
6.05,1,999,0.0619,0,0,5,269,246,81,403,0,0,0,0,0,0,0
7.06,1,999,0.0689,0,0,5,269,246,81,403,0,0,0,0,0,0,0
8.07,1,999,0.0821,0,0,5,269,246,81,403,0,0,0,0,0,0,0
9.08,1,999,0.0931,0,0,5,269,246,81,403,0,0,0,0,0,0,0
10.09,1,999,0.1044,0,0,5,269,246,81,403,0,0,0,0,0,0,0
11.1,1,999,0.1108,0,0,5,269,246,81,403,0,0,0,0,0,0,0
12.11,1,999,0.1306,2,0,5,269,246,81,403,2,0,0,0,0,0,0
13.11,1,999,0.1308,2,0,5,269,246,81,403,2,0,0,0,0,0,0
14.12,1,999,0.1462,2,0,5,269,246,81,403,2,0,0,0,0,0,0
15.12,2,998,0.1547,0,0,5,269,246,81,402,0,0,0,0,0,0,0
16.13,3,997,0.1575,0,0,5,268,246,81,402,0,0,0,0,0,0,0
17.13,4,996,0.1632,0,0,5,267,246,81,402,0,0,0,0,0,0,0
18.14,4,996,0.1671,0,0,5,267,246,81,402,0,0,0,0,0,0,0
19.15,4,996,0.173,2,0,5,267,246,81,402,2,0,0,0,0,0,0
20.15,4,996,0.1819,2,0,5,267,246,81,402,2,0,0,0,0,0,0
21.16,4,996,0.1864,2,0,5,267,246,81,402,2,0,0,0,0,0,0
22.16,5,995,0.1875,0,0,5,267,246,81,401,0,0,0,0,0,0,0
23.16,5,995,0.1905,0,0,5,267,246,81,401,0,0,0,0,0,0,0
24.18,6,994,0.1948,0,0,5,267,246,80,401,0,0,0,0,0,0,0
25.19,6,994,0.1981,0,0,5,267,246,80,401,0,0,0,0,0,0,0
26.2,6,994,0.1996,0,0,5,267,246,80,401,0,0,0,0,0,0,0
27.2,7,993,0.2088,2,0,5,267,246,80,400,0,0,0,0,0,0,2
28.2,8,992,0.2141,2,0,5,266,247,79,400,0,0,0,2,0,0,2
29.21,8,992,0.2232,2,0,5,266,247,79,400,0,2,0,2,0,0,2
30.21,8,992,0.236,2,0,5,266,247,79,400,0,0,2,0,0,0,2
31.22,8,992,0.2491,2,0,5,266,247,79,400,0,0,2,0,0,0,0
32.23,8,992,0.2517,4,0,5,266,247,79,400,0,0,4,0,0,0,0
33.23,9,991,0.2572,4,0,5,266,246,79,400,0,0,4,0,0,0,2
34.25,9,991,0.2588,4,0,5,266,246,79,400,0,0,2,0,0,0,4
35.25,9,991,0.2691,4,0,5,266,246,81,398,0,4,2,0,0,0,4
36.26,10,990,0.2767,4,0,5,266,246,80,398,0,2,0,0,0,0,4
37.26,10,990,0.28,4,0,5,266,246,80,398,2,2,0,0,0,0,4
38.26,12,988,0.2835,2,0,5,266,245,80,397,0,0,2,0,0,0,2
39.27,13,987,0.2959,2,0,5,266,244,81,396,0,2,2,0,0,0,2
40.27,14,986,0.31,2,0,5,266,243,81,396,2,0,2,0,0,0,2
41.28,16,984,0.3151,2,0,5,266,243,79,396,2,0,0,0,0,0,0
42.29,17,983,0.317,0,0,5,266,243,79,395,0,0,0,0,0,0,0
43.3,19,981,0.3204,0,0,5,265,242,79,395,0,0,0,0,0,0,0
44.31,22,978,0.326,0,0,5,263,242,78,395,0,0,0,0,0,0,0
45.32,23,977,0.3143,4,0,5,262,242,80,393,0,4,0,0,0,0,0
46.33,24,976,0.3275,2,0,5,261,242,80,393,0,2,0,0,0,0,0
47.33,27,973,0.3365,2,0,5,259,242,81,391,0,2,0,0,0,0,2
48.35,28,972,0.3428,2,0,5,259,241,81,391,0,0,0,0,0,0,2
49.35,30,970,0.355,2,0,5,259,240,81,390,0,2,0,0,0,0,2
50.36,32,968,0.365,4,0,5,258,239,81,390,0,2,0,0,0,0,4
51.37,33,967,0.3641,4,0,5,257,239,82,389,2,2,0,0,0,2,4
52.38,33,967,0.3736,6,0,5,257,239,82,389,2,0,0,0,0,2,6
53.38,33,967,0.3782,8,0,5,257,239,83,388,4,2,0,0,0,0,8
54.38,34,966,0.386,8,0,5,257,239,83,387,0,0,0,0,0,0,8
55.39,34,966,0.4014,6,0,5,257,239,84,386,2,4,0,0,0,0,6
56.39,35,965,0.3985,8,0,5,257,239,83,386,2,0,0,0,0,0,8
57.4,36,964,0.4084,8,0,5,257,239,83,385,4,0,0,0,0,0,8
58.41,37,963,0.4088,2,0,5,257,239,83,384,0,0,0,0,0,0,2
59.41,40,960,0.4109,2,0,5,255,238,83,384,0,0,0,0,0,0,2
60.42,42,958,0.4206,2,0,5,254,237,84,383,0,2,2,0,0,0,2
61.42,44,956,0.4206,4,0,5,253,237,85,381,2,4,2,0,0,0,2
62.43,44,956,0.429,2,0,5,253,237,85,381,2,2,2,0,0,0,2
63.44,51,949,0.427,4,0,5,252,233,83,381,2,0,0,0,0,0,4
64.44,53,947,0.4272,4,0,5,251,233,83,380,2,2,0,0,0,0,4
65.45,58,942,0.4173,4,0,5,250,230,83,379,0,0,2,0,0,0,4
66.46,63,937,0.4218,4,0,5,248,229,83,377,0,0,4,0,0,0,4
67.46,65,935,0.428,4,0,5,248,229,84,374,2,2,4,0,0,0,4
68.47,67,933,0.4328,6,0,5,248,228,86,371,6,6,4,0,0,0,4
69.47,68,932,0.4397,8,0,5,248,228,88,368,4,8,6,0,0,0,4
70.48,70,930,0.4567,6,0,5,248,227,88,367,6,6,6,0,0,0,2
71.48,74,926,0.4549,6,0,5,246,226,89,365,6,4,4,0,0,0,2
72.49,77,923,0.4648,6,0,5,245,226,90,362,4,6,4,0,0,0,2
