Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Seed,ActiveSigns,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor (1),Zone_ZoneSensor stair (8),Zone_ZoneSensor stair (4)_noSmartSign,Zone_ZoneSensor stair (2),Zone_ZoneSensor stair (1),Zone_ZoneSensor stair (3),Zone_ZoneSensor stair (10),Zone_ZoneSensor stair,Zone_ZoneSensor stair (5)
0,0,1000,0,0,0,7,270,246,81,403,0,0,0,0,0,0,0,0,0
1.01,2,998,0.0178,0,0,7,268,246,81,403,0,0,0,0,0,0,0,0,0
2.02,2,998,0.0277,0,0,7,268,246,81,403,0,0,0,0,0,0,0,0,0
3.03,2,998,0.0366,0,0,7,268,246,81,403,0,0,0,0,0,0,0,0,0
4.03,2,998,0.0391,0,0,7,268,246,81,403,0,0,0,0,0,0,0,0,0
5.05,2,998,0.057,0,0,7,268,246,81,403,0,0,0,0,0,0,0,0,0
6.05,2,998,0.0693,0,0,7,268,246,81,403,0,0,0,0,0,0,0,0,0
7.06,2,998,0.0693,0,0,7,268,246,81,403,0,0,0,0,0,0,0,0,0
8.07,2,998,0.0757,0,0,7,268,246,81,403,0,0,0,0,0,0,0,0,0
9.07,2,998,0.0953,0,0,7,268,246,81,403,0,0,0,0,0,0,0,0,0
10.07,2,998,0.1162,0,0,7,268,246,81,403,0,0,0,0,0,0,0,0,0
11.08,2,998,0.1242,0,0,7,268,246,81,403,0,0,0,0,0,0,0,0,0
12.09,2,998,0.1383,2,0,7,268,246,81,403,2,0,0,0,0,0,0,0,0
13.1,2,998,0.1413,4,0,7,268,246,81,403,4,0,0,0,0,0,0,0,0
14.11,2,998,0.1447,4,0,7,268,246,81,403,4,0,0,0,0,0,0,0,0
15.11,3,997,0.1569,2,0,7,268,246,81,402,2,0,0,0,0,0,0,0,0
16.12,4,996,0.1633,0,0,7,268,246,81,401,0,0,0,0,0,0,0,0,0
17.14,4,996,0.1781,0,0,7,268,246,81,401,0,0,0,0,0,0,0,0,0
18.14,4,996,0.1895,0,0,7,268,246,81,401,0,0,0,0,0,0,0,0,0
19.15,4,996,0.204,0,0,7,268,246,81,401,0,0,0,0,0,0,0,0,0
20.16,4,996,0.2143,2,0,7,268,246,81,401,0,2,0,0,0,0,0,0,0
21.16,4,996,0.2119,2,0,7,268,246,81,401,2,0,0,0,0,0,0,0,0
22.17,5,995,0.2135,0,0,7,268,246,81,400,0,0,0,0,0,0,0,0,0
23.18,6,994,0.2191,0,0,7,267,246,81,400,0,0,0,0,0,0,0,0,0
24.19,6,994,0.2287,4,0,7,267,246,81,400,0,0,0,0,0,0,0,0,4
25.19,6,994,0.2308,4,0,7,267,246,81,400,0,0,0,0,0,0,0,0,4
26.19,6,994,0.237,4,0,7,267,246,82,399,0,2,0,0,0,0,0,0,4
27.2,7,993,0.241,6,0,7,266,246,83,398,0,2,0,0,0,0,0,0,6
28.21,8,992,0.2579,6,0,7,266,245,83,398,0,0,0,0,0,0,0,0,6
29.21,8,992,0.2644,4,0,7,266,245,83,398,0,0,0,0,0,0,0,0,4
30.22,9,991,0.2681,4,0,7,265,245,83,398,0,0,0,0,0,0,0,0,4
31.23,10,990,0.2644,4,0,7,265,244,83,398,2,0,0,0,0,0,0,0,4
32.23,11,989,0.2706,4,0,7,264,244,83,398,4,0,2,0,0,0,0,0,2
33.23,14,986,0.2699,2,0,7,263,244,83,396,2,0,2,0,0,0,0,0,0
34.24,17,983,0.2714,4,0,7,261,244,83,395,4,2,2,0,0,0,0,0,0
35.24,19,981,0.2908,2,0,7,261,244,83,393,0,0,2,0,0,0,0,0,0
36.25,19,981,0.3061,2,0,7,261,244,83,393,0,0,2,0,0,0,0,0,0
37.26,20,980,0.3029,0,0,7,260,244,83,393,0,0,0,0,0,0,0,0,0
38.26,20,980,0.3006,2,0,7,260,244,83,393,0,0,0,0,2,0,0,0,0
39.27,20,980,0.3066,2,0,7,260,244,83,393,2,0,0,0,2,0,0,0,2
40.28,21,979,0.3206,2,0,7,260,244,83,392,2,0,0,0,2,0,0,0,2
41.28,23,977,0.3254,2,0,7,260,243,83,391,2,0,0,0,0,0,0,0,2
42.29,25,975,0.3153,4,0,7,260,242,83,390,0,0,2,0,0,0,0,0,4
43.3,26,974,0.3199,4,0,7,260,241,83,390,0,0,2,0,0,0,0,0,4
44.31,28,972,0.3233,4,0,7,259,240,84,389,0,2,2,0,0,0,0,0,4
45.32,30,970,0.3243,2,0,7,258,240,84,388,2,2,2,0,0,0,0,0,2
46.33,33,967,0.3322,2,0,7,258,240,84,385,2,2,2,0,0,0,0,0,2
47.34,36,964,0.3192,2,0,7,257,239,84,384,0,2,0,0,0,0,0,0,2
48.35,36,964,0.3447,2,0,7,257,239,84,384,0,0,0,0,0,0,0,0,2
49.36,38,962,0.3468,2,0,7,257,239,84,382,0,0,0,0,0,0,0,0,2
50.37,40,960,0.3562,2,0,7,256,239,84,381,0,0,2,0,0,0,0,0,2
51.38,41,959,0.3663,2,0,7,255,239,84,381,0,0,2,0,0,0,0,0,2
52.4,42,958,0.3814,4,0,7,255,238,84,381,0,0,2,0,0,0,0,0,4
53.41,44,956,0.3764,4,0,7,253,238,85,380,2,2,4,0,0,0,0,0,4
54.41,46,954,0.3897,4,0,7,253,238,85,378,2,2,2,0,2,0,0,0,4
55.41,48,952,0.3913,4,0,7,252,238,85,377,2,0,4,0,2,0,0,0,4
56.42,49,951,0.4024,2,0,7,252,238,85,376,2,0,2,0,0,0,0,2,2
57.43,51,949,0.3992,4,0,7,251,238,85,375,0,0,4,0,0,0,0,2,2
58.43,54,946,0.3992,4,0,7,250,238,84,374,0,2,4,0,0,0,0,0,2
59.44,55,945,0.4041,2,0,7,249,238,85,373,2,2,2,0,0,0,0,0,2
60.44,57,943,0.4017,2,0,7,249,238,86,370,0,2,2,0,0,0,0,0,0
61.45,58,942,0.4091,2,0,7,249,238,85,370,2,2,2,0,0,0,0,0,0
62.46,61,939,0.4079,2,0,7,247,239,86,367,2,2,0,2,0,0,0,0,0
63.47,63,937,0.4196,2,0,7,247,239,85,366,0,2,2,0,0,0,0,0,0
64.48,63,937,0.4279,2,0,7,247,239,85,366,0,0,2,0,0,0,0,0,2
65.49,64,936,0.4315,4,0,7,246,239,85,366,0,0,2,0,0,0,0,0,4
66.49,69,931,0.4418,4,0,7,246,236,85,364,0,2,2,0,0,0,0,0,4
67.5,72,928,0.4522,6,0,7,245,235,85,363,0,2,2,0,0,0,0,0,6
68.51,75,925,0.4555,6,0,7,245,232,86,362,0,2,2,0,0,0,0,0,6
69.52,76,924,0.4635,8,0,7,245,232,85,362,0,0,0,0,0,0,0,0,8
70.52,79,921,0.4632,8,0,7,244,231,85,361,0,2,0,0,0,0,0,2,8
71.53,82,918,0.4652,8,0,7,242,231,85,360,0,4,0,0,2,0,0,2,8
72.54,88,912,0.459,4,0,7,242,228,83,359,0,0,0,0,2,0,0,2,4
73.55,92,908,0.4559,4,0,7,241,227,83,357,2,2,0,0,0,0,0,0,4
74.55,95,905,0.4548,6,0,7,241,227,84,353,2,6,0,0,0,0,0,0,2
75.56,96,904,0.4694,4,0,7,240,228,84,352,0,2,2,2,0,0,0,0,4
76.57,97,903,0.4779,4,0,7,239,228,84,352,2,0,2,2,0,0,0,0,4
77.58,100,900,0.4761,4,0,7,237,228,84,351,2,0,2,0,0,0,0,0,4
78.6,105,895,0.4895,4,0,7,236,226,84,349,2,0,2,0,0,0,0,0,4
79.6,106,894,0.4933,2,0,7,236,225,84,349,2,0,2,0,0,0,0,0,2
80.6,108,892,0.4943,2,0,7,235,224,85,348,2,2,2,0,0,0,0,0,0
81.61,111,889,0.4991,4,0,7,234,222,86,347,0,2,4,0,0,0,0,2,0
82.62,113,887,0.5216,6,0,7,233,222,86,346,0,0,6,0,0,0,0,0,2
83.62,117,883,0.522,6,0,7,233,221,85,344,2,0,6,0,0,0,0,0,4
84.62,119,881,0.535,4,0,7,232,221,85,343,4,2,4,0,0,0,0,0,4
85.63,125,875,0.5364,6,0,7,229,220,85,341,2,2,4,0,0,0,0,0,6
