Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Seed,ActiveSigns,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair (8),Zone_ZoneSensor stair (4)_noSmartSign,Zone_ZoneSensor stair (2),Zone_ZoneSensor stair (1),Zone_ZoneSensor stair (3),Zone_ZoneSensor stair (10),Zone_ZoneSensor stair,Zone_ZoneSensor (1),Zone_ZoneSensor stair (5)
0,0,1000,0,0,0,7,270,246,81,403,0,0,0,0,0,0,0,0,0
1.01,1,999,0.0075,0,0,7,269,246,81,403,0,0,0,0,0,0,0,0,0
2.02,1,999,0.014,0,0,7,269,246,81,403,0,0,0,0,0,0,0,0,0
3.03,1,999,0.0218,0,0,7,269,246,81,403,0,0,0,0,0,0,0,0,0
4.04,1,999,0.0313,0,0,7,269,246,81,403,0,0,0,0,0,0,0,0,0
5.05,1,999,0.0368,0,0,7,269,246,81,403,0,0,0,0,0,0,0,0,0
6.06,1,999,0.0465,0,0,7,269,246,81,403,0,0,0,0,0,0,0,0,0
7.07,1,999,0.057,0,0,7,269,246,81,403,0,0,0,0,0,0,0,0,0
8.07,1,999,0.0593,0,0,7,269,246,81,403,0,0,0,0,0,0,0,0,0
9.08,1,999,0.0748,0,0,7,269,246,81,403,0,0,0,0,0,0,0,0,0
10.09,2,998,0.0691,0,0,7,269,246,81,402,0,0,0,0,0,0,0,0,0
11.1,2,998,0.0782,0,0,7,269,246,81,402,0,0,0,0,0,0,0,0,0
12.1,2,998,0.0935,0,0,7,269,246,81,402,0,0,0,0,0,0,0,0,0
13.11,3,997,0.1133,0,0,7,269,245,81,402,0,0,0,0,0,0,0,0,0
14.12,3,997,0.1106,0,0,7,269,245,81,402,0,0,0,0,0,0,0,0,0
15.13,3,997,0.12,0,0,7,269,245,81,402,0,0,0,0,0,0,0,0,0
16.13,3,997,0.1367,2,0,7,269,245,81,402,0,0,0,0,0,0,0,2,0
17.13,3,997,0.1426,2,0,7,269,245,81,402,0,0,0,0,0,0,0,2,0
18.14,3,997,0.1557,2,0,7,269,245,81,402,0,0,0,0,0,0,0,2,0
19.14,4,996,0.165,0,0,7,269,245,81,401,0,0,0,0,0,0,0,0,0
20.15,4,996,0.1643,0,0,7,269,245,81,401,0,0,0,0,0,0,0,0,0
21.15,4,996,0.1617,0,0,7,269,245,81,401,0,0,0,0,0,0,0,0,0
22.17,4,996,0.1567,0,0,7,269,245,81,401,0,0,0,0,0,0,0,0,0
23.17,4,996,0.1674,0,0,7,269,245,81,401,0,0,0,0,0,0,0,0,0
