Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair,Zone_ZoneSensor (1),Zone_ZoneSensor stair (3),Zone_ZoneSensor stair (9),Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (7),Zone_ZoneSensor stair (4)_noSmartSign
0.00,0,1000,0.0000,1026,245,238,84,433,0,1026,0,0,0,0,0
1.42,0,1000,0.0000,1026,245,238,84,433,0,1026,0,0,0,0,0
2.81,0,1000,0.0000,1026,245,238,84,433,0,1026,0,0,0,0,0
4.23,0,1000,0.0000,1026,245,238,84,433,0,1026,0,0,0,0,0
5.63,0,1000,0.0000,1026,245,238,84,433,0,1026,0,0,0,0,0
7.03,0,1000,0.0000,1026,245,238,84,433,0,1026,0,0,0,0,0
8.43,0,1000,0.0000,1026,245,238,84,433,0,1026,0,0,0,0,0
9.65,0,1000,0.0000,1026,245,238,84,433,0,1026,0,0,0,0,0
11.11,0,1000,0.0000,1026,245,238,84,433,0,1026,0,0,0,0,0
12.51,0,1000,0.0000,1026,245,238,84,433,0,1026,0,0,0,0,0
13.95,0,1000,0.0000,1026,245,238,84,433,0,1026,0,0,0,0,0
15.36,0,1000,0.0000,1026,245,238,84,433,0,1026,0,0,0,0,0
16.76,0,1000,0.0000,1026,245,238,84,433,0,1026,0,0,0,0,0
18.21,0,1000,0.0000,1026,245,238,84,433,0,1026,0,0,0,0,0
19.62,0,1000,0.0000,1026,245,238,84,433,0,1026,0,0,0,0,0
21.02,0,1000,0.0015,1026,245,238,84,433,0,1026,0,0,0,0,0
22.41,0,1000,0.0010,1026,245,238,84,433,0,1026,0,0,0,0,0
23.84,0,1000,0.0012,1026,245,238,84,433,0,1026,0,0,0,0,0
25.24,0,1000,0.0001,1026,245,238,84,433,0,1026,0,0,0,0,0
26.66,0,1000,0.0003,1026,245,238,84,433,0,1026,0,0,0,0,0
28.06,0,1000,0.0003,1026,245,238,84,433,0,1026,0,0,0,0,0
29.46,0,1000,0.0030,1026,245,238,84,433,0,1026,0,0,0,0,0
30.85,0,1000,0.0038,1026,245,238,84,433,0,1026,0,0,0,0,0
32.27,0,1000,0.0045,1026,245,238,84,433,0,1026,0,0,0,0,0
33.69,0,1000,0.0045,1026,245,238,84,433,0,1026,0,0,0,0,0
35.07,0,1000,0.0045,1026,245,238,84,433,0,1026,0,0,0,0,0
36.45,0,1000,0.0045,1026,245,238,84,433,0,1026,0,0,0,0,0
37.84,0,1000,0.0045,1026,245,238,84,433,0,1026,0,0,0,0,0
39.25,1,999,0.0027,1026,245,238,83,433,0,1026,0,0,0,0,0
40.67,1,999,0.0027,1026,245,238,83,433,0,1026,0,0,0,0,0
42.08,1,999,0.0027,1026,245,238,83,433,0,1026,0,0,0,0,0
43.48,1,999,0.0030,1026,245,238,83,433,0,1026,0,0,0,0,0
44.87,1,999,0.0030,1026,245,238,83,433,0,1026,0,0,0,0,0
46.27,1,999,0.0030,1026,245,238,83,433,0,1026,0,0,0,0,0
47.67,1,999,0.0038,1026,245,238,83,433,0,1026,0,0,0,0,0
49.08,2,998,0.0045,1026,245,237,83,433,0,1026,0,0,0,0,0
50.52,2,998,0.0045,1026,245,237,83,433,0,1026,0,0,0,0,0
52.09,2,998,0.0045,1026,245,237,83,433,0,1026,0,0,0,0,0
53.50,2,998,0.0064,1026,245,237,83,433,0,1026,0,0,0,0,0
54.91,2,998,0.0061,1026,245,237,83,433,0,1026,0,0,0,0,0
56.29,2,998,0.0064,1026,245,237,83,433,0,1026,0,0,0,0,0
57.67,2,998,0.0062,1026,245,237,83,433,0,1026,0,0,0,0,0
59.09,2,998,0.0082,1026,245,237,83,433,0,1026,0,0,0,0,0
60.49,2,998,0.0089,1026,245,237,83,433,0,1026,0,0,0,0,0
61.89,2,998,0.0080,1026,245,237,83,433,0,1026,0,0,0,0,0
63.27,2,998,0.0084,1026,245,237,83,433,0,1026,0,0,0,0,0
64.71,2,998,0.0084,1026,245,237,83,433,0,1026,0,2,0,0,0
65.73,2,998,0.0081,1026,245,237,83,433,0,1026,0,2,0,0,0
67.10,2,998,0.0078,1026,245,237,83,433,0,1026,0,0,0,0,0
68.50,2,998,0.0109,1026,245,237,83,433,0,1026,0,0,0,0,0
69.89,2,998,0.0101,1026,245,237,83,433,0,1026,0,0,0,0,0
71.25,2,998,0.0133,1026,245,237,83,433,0,1026,0,0,0,0,0
72.62,2,998,0.0130,1026,245,237,83,433,0,1026,0,0,0,0,0
74.02,2,998,0.0122,1026,245,237,83,433,0,1026,0,0,0,0,0
75.41,2,998,0.0132,1026,245,237,83,433,0,1026,0,0,0,0,0
76.82,2,998,0.0161,1026,245,237,83,433,0,1026,0,0,0,0,0
78.20,2,998,0.0162,1026,245,237,83,433,0,1026,0,0,0,0,0
79.63,2,998,0.0158,1026,245,237,83,433,0,1026,0,0,0,0,0
81.02,2,998,0.0142,1026,245,237,83,433,0,1026,0,0,0,0,0
82.39,2,998,0.0159,1026,245,237,83,433,0,1026,0,0,0,0,0
83.80,2,998,0.0151,1026,245,237,83,433,0,1026,0,0,0,0,0
85.18,2,998,0.0160,1026,245,237,83,433,0,1026,0,0,0,0,0
86.55,2,998,0.0172,1026,245,237,83,433,0,1026,0,0,0,0,0
87.91,2,998,0.0174,1026,245,237,83,433,0,1026,0,0,0,0,0
89.30,2,998,0.0198,1026,245,237,83,433,0,1026,0,0,0,0,0
90.68,2,998,0.0194,1026,245,237,83,433,0,1026,0,0,0,0,0
92.05,2,998,0.0213,1026,245,237,83,433,0,1026,0,0,0,0,0
93.45,2,998,0.0224,1026,245,237,83,433,0,1026,0,0,0,0,0
94.84,2,998,0.0227,1026,245,237,83,433,0,1026,0,0,0,0,0
96.24,2,998,0.0225,1026,245,237,83,433,0,1026,0,0,0,0,0
97.67,2,998,0.0218,1026,245,237,83,433,0,1026,0,0,0,0,0
99.13,2,998,0.0224,1028,245,237,83,433,0,1028,0,0,0,2,0
100.54,3,997,0.0199,1028,245,237,83,432,0,1028,0,0,0,2,0
102.01,3,997,0.0193,1028,245,237,83,432,0,1028,0,0,0,0,0
103.41,3,997,0.0207,1028,245,237,83,432,0,1028,0,0,0,0,0
104.79,3,997,0.0199,1028,245,237,83,432,0,1028,0,0,0,0,0
106.10,3,997,0.0208,1028,245,237,83,432,0,1028,0,0,0,0,0
107.23,3,997,0.0223,1028,245,237,83,432,0,1028,0,0,0,0,0
108.33,3,997,0.0221,1028,245,237,83,432,0,1028,0,0,0,0,0
109.49,4,996,0.0192,1028,245,237,83,431,0,1028,0,0,0,0,0
110.61,4,996,0.0211,1028,245,237,83,431,0,1028,0,0,0,0,0
111.75,4,996,0.0193,1028,245,237,83,431,0,1028,0,0,0,0,0
113.00,4,996,0.0210,1028,245,237,83,431,0,1028,0,2,0,0,0
114.18,5,995,0.0230,1028,245,237,83,430,0,1028,0,2,0,0,0
115.36,5,995,0.0203,1028,245,237,83,430,0,1028,0,0,0,0,0
116.48,5,995,0.0220,1028,245,237,83,430,0,1028,0,0,0,0,0
117.61,5,995,0.0216,1028,245,237,83,430,0,1028,0,0,0,0,0
118.75,5,995,0.0209,1028,245,237,83,430,0,1028,0,0,0,0,0
119.93,5,995,0.0210,1028,245,237,83,430,0,1028,0,0,0,0,0
121.05,5,995,0.0203,1028,245,237,83,430,0,1028,0,0,0,0,0
122.16,5,995,0.0204,1028,245,237,83,430,0,1028,0,0,0,0,0
123.31,5,995,0.0200,1028,245,237,83,430,0,1028,0,0,2,2,0
124.61,5,995,0.0198,1028,245,237,83,430,0,1028,0,0,2,2,0
125.87,5,995,0.0196,1028,245,237,83,430,0,1028,0,0,2,0,2
127.10,6,994,0.0179,1028,245,237,82,430,0,1028,0,0,2,0,2
128.32,6,994,0.0178,1028,245,237,82,430,0,1028,0,0,2,0,2
129.68,6,994,0.0176,1028,245,237,82,430,0,1028,0,0,2,0,2
131.10,6,994,0.0181,1028,245,237,82,430,0,1028,0,0,0,0,2
132.50,6,994,0.0179,1028,245,237,82,430,0,1028,0,0,0,0,0
133.91,6,994,0.0182,1028,245,237,82,430,0,1028,0,0,0,0,0
135.30,6,994,0.0180,1028,245,237,82,430,0,1028,0,0,0,0,0
136.69,6,994,0.0178,1028,245,237,82,430,0,1028,0,0,0,0,0
138.08,6,994,0.0195,1028,245,237,82,430,0,1028,0,0,0,0,0
139.86,7,993,0.0173,1028,244,237,82,430,0,1028,0,0,0,0,0
140.87,7,993,0.0179,1028,244,237,82,430,0,1028,0,0,0,0,0
142.29,7,993,0.0165,1028,244,237,82,430,0,1028,0,0,0,0,0
143.72,8,992,0.0163,1028,244,236,82,430,0,1028,0,0,0,0,0
145.12,8,992,0.0161,1028,244,236,82,430,0,1028,0,0,0,0,0
146.53,8,992,0.0163,1028,244,237,82,429,2,1028,0,0,0,0,0
147.95,8,992,0.0165,1028,244,237,82,429,2,1028,0,0,0,0,0
149.40,8,992,0.0163,1028,244,237,83,428,0,1028,0,0,0,2,0
150.85,8,992,0.0163,1028,244,237,83,428,0,1028,0,0,0,2,0
152.27,9,991,0.0156,1028,244,237,82,428,0,1028,0,0,0,2,0
153.72,9,991,0.0153,1028,244,237,82,428,0,1028,0,0,0,0,0
155.16,9,991,0.0154,1030,244,237,82,428,0,1030,0,0,0,0,0
156.55,10,990,0.0139,1030,244,237,82,427,0,1030,0,0,0,0,0
157.95,10,990,0.0151,1030,244,237,82,427,0,1030,0,0,0,0,0
