Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair (1),Zone_ZoneSensor stair,Zone_ZoneSensor (1),Zone_ZoneSensor stair (3),Zone_ZoneSensor stair (2),Zone_ZoneSensor stair (10),Zone_ZoneSensor stair (9),Zone_ZoneSensor stair (11),Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (7),Zone_ZoneSensor stair (4)_noSmartSign,Zone_ZoneSensor stair (8)
0.00,0,1000,0.0000,1210,245,238,84,433,0,0,1210,0,0,0,0,350,0,0,0,0
1.47,0,1000,0.0000,1210,245,238,84,433,0,0,1210,0,0,0,0,350,0,0,0,0
2.93,0,1000,0.0000,1210,245,238,84,433,0,0,1210,0,0,0,0,350,0,0,0,0
4.34,0,1000,0.0000,1210,245,238,84,433,0,0,1210,0,0,0,0,350,0,0,0,0
5.73,0,1000,0.0000,1210,245,238,84,433,0,0,1210,0,0,0,0,350,0,0,0,0
7.16,0,1000,0.0000,1210,245,238,84,433,0,0,1210,0,0,0,0,350,0,0,0,0
8.56,0,1000,0.0000,1210,245,238,84,433,0,0,1210,0,0,0,0,350,0,0,0,0
9.97,0,1000,0.0000,1210,245,238,84,433,0,0,1210,0,0,0,0,350,0,0,0,0
11.37,0,1000,0.0000,1210,245,238,84,433,0,0,1210,0,0,0,0,350,0,0,0,0
12.78,0,1000,0.0000,1210,245,238,84,433,0,0,1210,0,0,0,0,350,0,0,0,0
14.18,0,1000,0.0000,1210,245,238,84,433,0,0,1210,0,0,0,0,350,0,0,0,0
15.59,0,1000,0.0000,1210,245,238,84,433,0,0,1210,0,0,0,0,350,0,0,0,0
17.02,0,1000,0.0000,1210,245,238,84,433,0,0,1210,0,0,0,0,350,0,0,0,0
18.43,0,1000,0.0000,1210,245,238,84,433,0,0,1210,0,0,0,0,350,0,0,0,0
19.83,0,1000,0.0015,1210,245,238,84,433,0,0,1210,0,0,0,0,350,0,0,0,0
21.22,0,1000,0.0015,1210,245,238,84,433,0,0,1210,0,0,0,0,350,0,0,0,0
22.66,0,1000,0.0012,1210,245,238,84,433,0,0,1210,0,0,0,0,350,0,0,0,0
24.10,0,1000,0.0013,1210,245,238,84,433,0,0,1210,0,0,0,0,350,0,0,0,0
25.53,0,1000,0.0002,1210,245,238,84,433,0,0,1210,0,0,0,0,350,0,0,0,0
26.93,0,1000,0.0004,1210,245,238,84,433,0,0,1210,0,0,0,0,350,0,0,0,0
28.33,0,1000,0.0005,1210,245,238,84,433,0,0,1210,0,0,0,0,350,0,0,0,0
