Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair,Zone_ZoneSensor stair (9),Zone_ZoneSensor (1),Zone_ZoneSensor stair (3),Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (7),Zone_ZoneSensor stair (4)_noSmartSign
0.00,0,1000,0.0000,320,251,273,89,387,0,0,320,0,0,0,0
1.36,0,1000,0.0015,320,251,273,89,387,0,0,320,0,0,0,0
2.71,1,999,0.0000,320,250,273,89,387,0,0,320,0,0,0,0
4.06,1,999,0.0000,320,250,273,89,387,0,0,320,0,0,0,0
5.06,1,999,0.0000,320,250,273,89,387,0,0,320,0,0,0,0
6.87,1,999,0.0000,320,250,273,89,387,0,0,320,0,0,0,0
8.23,1,999,0.0000,320,250,273,89,387,0,0,320,0,0,0,0
9.60,1,999,0.0000,320,250,273,89,387,0,0,320,0,0,0,0
11.00,1,999,0.0000,320,250,273,89,387,0,0,320,0,0,0,0
12.37,1,999,0.0000,320,250,273,89,387,0,0,320,0,0,0,0
13.75,1,999,0.0000,320,250,273,89,387,0,0,320,0,0,0,0
15.14,1,999,0.0000,320,250,273,89,387,0,0,320,0,0,0,0
16.49,1,999,0.0000,320,250,273,89,387,0,0,320,0,0,0,0
17.87,1,999,0.0000,320,250,273,89,387,0,0,320,0,0,0,0
19.25,1,999,0.0015,320,250,273,89,387,0,0,320,0,0,0,0
20.67,1,999,0.0012,320,250,273,89,387,0,0,320,0,0,0,0
22.02,1,999,0.0015,320,250,273,89,387,0,0,320,0,0,0,0
23.38,1,999,0.0015,320,250,273,89,387,0,0,320,0,0,0,0
24.76,1,999,0.0015,320,250,273,89,387,0,0,320,0,0,0,0
26.13,1,999,0.0015,320,250,273,89,387,0,0,320,0,0,0,0
27.93,1,999,0.0015,320,250,273,89,387,0,0,320,0,0,0,0
29.32,1,999,0.0015,320,250,273,89,387,0,0,320,0,0,0,0
30.71,1,999,0.0015,320,250,273,89,387,0,0,320,0,0,0,0
32.07,1,999,0.0007,320,250,273,89,387,0,0,320,0,0,0,0
33.43,1,999,0.0002,320,250,273,89,387,0,0,320,0,0,0,0
34.78,1,999,0.0004,320,250,273,89,387,0,0,320,0,0,0,0
36.13,1,999,0.0019,320,250,273,89,387,0,0,320,0,0,0,0
37.48,1,999,0.0021,320,250,273,89,387,0,0,320,0,0,0,0
38.84,1,999,0.0030,320,250,273,89,387,0,0,320,0,0,0,0
40.26,1,999,0.0027,320,250,273,89,387,0,0,320,0,0,0,0
41.66,1,999,0.0030,320,250,273,89,387,0,0,320,0,0,0,0
43.03,1,999,0.0030,320,250,273,89,387,0,0,320,0,0,0,0
44.40,1,999,0.0030,320,250,273,89,387,0,0,320,0,0,0,0
45.79,1,999,0.0043,320,250,273,89,387,0,0,320,0,0,0,0
47.13,1,999,0.0045,320,250,273,89,387,0,0,320,0,0,0,0
48.49,1,999,0.0042,320,250,273,89,387,0,0,320,0,0,0,0
49.90,1,999,0.0045,320,250,273,89,387,0,0,320,0,0,0,0
51.44,1,999,0.0045,320,250,273,89,387,0,0,320,0,0,0,0
52.57,1,999,0.0045,320,250,273,89,387,0,0,320,0,0,0,0
53.91,1,999,0.0045,320,250,273,89,387,0,0,320,0,0,0,0
55.31,1,999,0.0045,320,250,273,89,387,0,0,320,0,0,0,0
56.66,1,999,0.0045,320,250,273,89,387,0,0,320,0,0,0,0
57.99,1,999,0.0052,320,250,273,89,387,0,0,320,0,0,0,0
59.33,1,999,0.0045,320,250,273,89,387,0,0,320,0,0,0,0
60.69,1,999,0.0045,320,250,273,89,387,0,0,320,0,0,0,0
62.04,1,999,0.0045,320,250,273,89,387,0,0,320,0,0,0,0
63.39,1,999,0.0045,320,250,273,89,387,0,0,320,0,0,0,0
64.75,1,999,0.0057,320,250,273,89,387,0,0,320,0,0,0,0
66.10,1,999,0.0057,320,250,273,89,387,0,0,320,0,0,0,0
67.56,1,999,0.0059,320,250,273,89,387,0,0,320,0,0,0,0
68.91,1,999,0.0057,320,250,273,89,387,0,0,320,0,0,0,0
70.27,1,999,0.0055,320,250,273,89,387,0,0,320,0,0,0,0
71.68,1,999,0.0060,320,250,273,89,387,0,0,320,0,0,0,0
73.05,1,999,0.0057,320,250,273,89,387,0,0,320,0,0,0,0
74.38,1,999,0.0060,320,250,273,89,387,0,0,320,0,0,0,0
75.74,1,999,0.0059,320,250,273,89,387,0,0,320,0,0,0,0
77.08,1,999,0.0059,320,250,273,89,387,0,0,320,0,0,0,0
78.41,1,999,0.0056,320,250,273,89,387,0,0,320,0,0,0,0
79.76,1,999,0.0059,320,250,273,89,387,0,0,320,0,0,0,0
81.13,1,999,0.0074,320,250,273,89,387,0,0,320,0,0,0,0
82.48,1,999,0.0070,320,250,273,89,387,0,0,320,0,0,0,0
83.83,1,999,0.0070,320,250,273,89,387,0,0,320,0,0,0,0
85.59,1,999,0.0075,320,250,273,89,387,0,0,320,0,0,0,0
86.92,1,999,0.0073,320,250,273,89,387,0,0,320,0,0,0,0
88.26,1,999,0.0074,320,250,273,89,387,0,0,320,0,0,0,0
89.60,1,999,0.0074,320,250,273,89,387,0,0,320,0,0,0,0
90.98,1,999,0.0071,320,250,273,89,387,0,0,320,0,0,0,0
92.35,1,999,0.0073,320,250,273,89,387,0,0,320,0,0,0,0
93.72,1,999,0.0072,320,250,273,89,387,0,0,320,0,0,0,0
95.06,1,999,0.0075,320,250,273,89,387,0,0,320,0,0,0,0
96.43,1,999,0.0075,320,250,273,89,387,0,0,320,0,0,0,0
97.76,1,999,0.0075,320,250,273,89,387,0,0,320,0,0,0,0
99.11,1,999,0.0088,320,250,273,89,387,0,0,320,0,0,0,0
100.45,1,999,0.0085,320,250,273,89,387,0,0,320,0,0,0,0
101.82,1,999,0.0087,320,250,273,89,387,0,0,320,0,0,0,0
103.18,1,999,0.0087,320,250,273,89,387,0,0,320,0,0,0,0
104.52,1,999,0.0089,320,250,273,89,387,0,0,320,0,0,0,0
105.92,1,999,0.0081,320,250,273,89,387,0,0,320,0,0,0,0
107.27,1,999,0.0085,320,250,273,90,386,0,0,320,0,0,2,0
108.64,1,999,0.0089,320,250,273,90,386,0,0,320,0,0,2,0
109.99,1,999,0.0087,320,250,273,90,386,0,0,320,0,0,0,0
111.37,1,999,0.0092,320,250,273,91,385,0,0,320,0,0,2,0
112.71,1,999,0.0091,320,250,273,91,385,0,0,320,0,0,0,0
113.97,1,999,0.0096,320,250,273,91,385,0,0,320,0,0,0,0
115.40,1,999,0.0094,320,250,273,92,384,0,0,320,0,0,2,0
116.76,1,999,0.0093,320,250,273,92,384,0,0,320,0,0,0,0
118.12,1,999,0.0106,320,250,273,92,384,0,0,320,0,0,0,0
119.46,1,999,0.0123,320,250,273,92,384,0,0,320,0,0,0,0
120.81,1,999,0.0123,320,250,273,92,384,0,0,320,0,0,0,0
122.19,1,999,0.0131,320,250,273,92,384,0,0,320,0,0,0,0
123.55,1,999,0.0144,320,250,273,92,384,0,0,320,0,0,0,0
124.90,1,999,0.0138,320,250,273,92,384,0,0,320,0,0,0,0
126.26,1,999,0.0137,320,250,273,92,384,0,0,320,0,0,0,0
127.64,1,999,0.0137,320,250,273,92,384,0,0,320,0,0,0,0
128.99,1,999,0.0132,320,250,273,92,384,0,0,320,0,0,0,0
130.34,1,999,0.0129,320,250,273,92,384,0,0,320,0,0,0,0
131.72,1,999,0.0130,320,250,273,92,384,0,0,320,0,0,0,0
133.06,1,999,0.0140,320,250,273,92,384,0,0,320,0,0,0,0
134.42,1,999,0.0137,320,250,273,92,384,0,0,320,0,0,0,0
135.77,1,999,0.0140,320,250,273,92,384,0,0,320,0,0,0,0
137.17,1,999,0.0147,320,250,273,92,384,0,0,320,0,0,0,0
138.52,1,999,0.0151,320,250,273,92,384,0,0,320,0,0,0,0
139.88,2,998,0.0135,320,250,273,91,384,0,0,320,0,0,0,0
141.24,2,998,0.0139,320,250,273,91,384,0,0,320,0,0,0,0
142.65,3,997,0.0125,320,250,273,90,384,0,0,320,0,0,0,0
144.03,3,997,0.0123,320,250,273,90,384,0,0,320,0,0,0,0
145.39,3,997,0.0122,320,250,273,90,384,0,0,320,0,0,0,0
146.78,4,996,0.0109,320,250,273,89,384,0,0,320,0,0,0,0
148.16,4,996,0.0110,320,250,273,89,384,0,0,320,0,0,0,0
149.51,4,996,0.0110,320,250,273,89,384,0,0,320,0,0,0,0
150.99,4,996,0.0112,320,250,273,89,384,0,0,320,0,0,0,0
152.38,4,996,0.0117,320,250,273,89,384,0,0,320,0,0,0,0
153.71,4,996,0.0111,320,250,273,89,384,0,0,320,0,0,0,0
155.05,4,996,0.0124,320,250,273,89,384,0,0,320,0,0,0,0
156.41,4,996,0.0125,320,250,273,89,384,0,0,320,0,0,0,0
157.77,4,996,0.0130,322,250,273,89,384,0,0,322,0,0,0,0
159.15,4,996,0.0125,324,250,273,89,384,0,0,324,0,0,0,0
160.46,5,995,0.0110,324,250,273,89,383,0,0,324,0,0,0,0
161.84,5,995,0.0107,322,250,273,90,382,0,0,322,0,0,2,0
163.23,5,995,0.0106,322,250,273,90,382,0,0,322,0,0,2,0
164.48,5,995,0.0106,322,250,273,90,382,0,0,322,0,0,0,0
165.81,5,995,0.0115,322,250,273,90,382,0,0,322,0,0,0,0
167.18,5,995,0.0113,322,250,273,90,382,0,0,322,0,0,0,0
168.51,5,995,0.0127,322,250,273,90,382,0,0,322,0,0,0,0
169.77,5,995,0.0126,322,250,273,90,382,0,0,322,0,0,0,0
171.11,5,995,0.0137,322,250,273,90,382,0,0,322,0,0,0,0
172.49,6,994,0.0123,322,250,273,90,381,0,0,322,0,0,0,0
173.88,6,994,0.0124,322,250,273,90,381,0,0,322,0,0,0,0
175.22,6,994,0.0119,322,250,273,90,381,0,0,322,0,0,0,0
176.56,6,994,0.0116,322,250,273,90,381,0,0,322,0,0,0,0
177.95,6,994,0.0113,322,250,273,90,381,0,0,322,0,0,0,0
179.32,6,994,0.0113,322,250,273,91,380,0,2,322,0,0,0,0
180.69,6,994,0.0123,322,250,273,91,380,0,2,322,0,0,0,0
182.07,6,994,0.0125,322,250,273,91,380,0,0,322,0,0,0,0
183.40,6,994,0.0140,322,250,273,91,380,0,0,322,0,0,0,0
184.76,6,994,0.0140,322,250,273,91,380,0,0,322,0,0,0,0
186.12,6,994,0.0138,322,250,273,91,380,0,0,322,0,0,0,0
187.47,6,994,0.0152,322,250,273,91,380,0,0,322,0,0,0,0
188.80,6,994,0.0152,322,250,273,91,380,0,0,322,0,0,0,0
190.16,6,994,0.0148,322,250,273,91,380,0,0,322,0,0,0,0
191.38,6,994,0.0160,322,250,273,91,380,0,0,322,0,0,0,0
192.76,6,994,0.0164,322,250,273,91,380,0,0,322,0,0,0,0
194.11,6,994,0.0152,322,250,273,91,380,0,0,322,0,0,0,0
195.45,7,993,0.0141,322,250,273,90,380,0,0,322,0,0,0,0
196.86,7,993,0.0139,322,250,273,90,380,0,0,322,0,0,0,0
198.19,7,993,0.0164,322,250,273,90,380,0,0,322,0,0,0,0
199.51,7,993,0.0169,322,250,273,90,380,0,0,322,0,0,0,0
200.85,7,993,0.0172,322,250,273,90,380,0,0,322,0,0,0,0
202.23,7,993,0.0158,322,250,273,90,380,0,0,322,0,0,0,2
203.62,7,993,0.0156,322,250,273,91,379,0,0,322,0,0,2,2
204.99,7,993,0.0154,322,250,273,92,378,0,2,322,0,0,2,2
206.35,7,993,0.0167,322,250,273,92,378,0,0,322,0,0,0,2
207.75,7,993,0.0170,322,250,273,92,378,0,0,322,0,0,0,0
209.08,7,993,0.0178,322,250,273,92,378,0,0,322,0,0,0,0
210.42,7,993,0.0178,322,250,273,92,378,0,0,322,0,0,0,0
211.77,7,993,0.0172,322,250,273,92,378,0,0,322,0,0,0,0
213.12,7,993,0.0168,322,250,273,93,377,0,2,322,0,0,0,0
214.46,7,993,0.0173,322,250,273,93,377,0,2,322,0,0,2,0
215.82,7,993,0.0169,322,250,273,93,377,0,0,322,0,0,2,0
217.20,7,993,0.0187,322,250,273,93,377,0,0,322,0,0,0,2
218.57,7,993,0.0186,322,250,273,93,377,0,0,322,0,0,0,2
219.91,7,993,0.0192,322,250,273,93,377,0,0,322,0,0,0,2
221.23,8,992,0.0175,322,249,273,93,377,0,0,322,0,0,0,2
222.61,8,992,0.0167,322,249,273,93,377,0,0,322,0,0,0,2
224.04,8,992,0.0199,322,249,273,93,377,0,0,322,0,0,0,0
225.38,8,992,0.0184,322,249,273,93,377,0,0,322,0,0,0,0
226.57,8,992,0.0181,322,249,273,93,377,0,0,322,0,0,0,0
227.91,8,992,0.0179,322,249,273,93,377,0,0,322,0,0,0,0
229.27,8,992,0.0182,322,249,273,93,377,0,0,322,0,0,0,0
230.61,9,991,0.0161,322,249,272,93,377,0,0,322,0,0,0,0
231.99,9,991,0.0162,322,249,272,93,377,0,0,322,0,0,0,0
233.39,9,991,0.0174,322,249,272,93,377,0,0,322,0,0,0,0
234.72,9,991,0.0162,322,249,272,93,377,0,0,322,0,0,0,0
236.08,10,990,0.0168,322,249,272,92,377,0,0,322,0,0,0,0
237.44,10,990,0.0176,322,249,272,92,377,0,0,322,0,0,0,0
238.77,10,990,0.0178,322,249,272,92,377,0,0,322,0,0,2,0
240.13,10,990,0.0190,322,249,272,93,376,0,0,322,0,0,4,0
241.47,10,990,0.0180,322,249,272,93,376,0,0,322,0,0,2,0
242.86,10,990,0.0185,322,249,272,93,376,0,0,322,0,0,0,0
244.23,10,990,0.0188,322,249,272,93,376,0,0,322,0,0,0,0
