Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor (1),Zone_ZoneSensor stair (4)_noSmartSign
0.00,0,1000,0.0000,1396,255,232,82,431,1396,0
1.46,0,1000,0.0000,1396,255,232,82,431,1396,0
2.85,0,1000,0.0000,1396,255,232,82,431,1396,0
4.27,0,1000,0.0000,1396,255,232,82,431,1396,0
5.70,0,1000,0.0015,1396,255,232,82,431,1396,0
7.15,0,1000,0.0010,1396,255,232,82,431,1396,0
8.57,0,1000,0.0007,1396,255,232,82,431,1396,0
9.99,0,1000,0.0014,1396,255,232,82,431,1396,0
11.41,0,1000,0.0015,1396,255,232,82,431,1396,0
12.41,0,1000,0.0015,1396,255,232,82,431,1396,0
13.57,0,1000,0.0028,1396,255,232,82,431,1396,0
14.99,0,1000,0.0031,1396,255,232,82,431,1396,0
16.46,0,1000,0.0035,1396,255,232,82,431,1396,0
17.51,0,1000,0.0030,1396,255,232,82,431,1396,0
18.94,0,1000,0.0046,1396,255,232,82,431,1396,0
20.36,0,1000,0.0046,1396,255,232,82,431,1396,0
21.80,0,1000,0.0046,1396,255,232,82,431,1396,0
23.23,0,1000,0.0045,1396,255,232,82,431,1396,0
24.64,0,1000,0.0049,1396,255,232,82,431,1396,0
26.06,0,1000,0.0048,1396,255,232,82,431,1396,0
27.31,0,1000,0.0048,1396,255,232,82,431,1396,0
28.75,0,1000,0.0052,1396,255,232,82,431,1396,0
30.17,0,1000,0.0043,1396,255,232,82,431,1396,0
31.60,0,1000,0.0049,1396,255,232,82,431,1396,0
32.60,0,1000,0.0049,1396,255,232,82,431,1396,0
34.01,0,1000,0.0047,1396,255,232,82,431,1396,0
35.43,0,1000,0.0055,1396,255,232,82,431,1396,0
36.86,0,1000,0.0067,1396,255,232,82,431,1396,0
37.87,0,1000,0.0059,1396,255,232,82,431,1396,0
39.32,0,1000,0.0062,1396,255,232,82,431,1396,0
40.74,0,1000,0.0076,1396,255,232,82,431,1396,0
42.19,0,1000,0.0080,1396,255,232,82,431,1396,0
43.62,0,1000,0.0085,1396,255,232,82,431,1396,0
45.05,0,1000,0.0100,1396,255,232,82,431,1396,0
46.48,0,1000,0.0096,1396,255,232,82,431,1396,0
47.92,0,1000,0.0096,1396,255,232,82,431,1396,0
49.35,0,1000,0.0098,1396,255,232,82,431,1396,0
50.85,0,1000,0.0104,1396,255,232,82,431,1396,0
52.21,0,1000,0.0087,1396,255,232,82,431,1396,0
53.64,0,1000,0.0088,1396,255,232,82,431,1396,0
55.05,0,1000,0.0102,1396,255,232,82,431,1396,0
56.47,0,1000,0.0104,1396,255,232,82,431,1396,0
57.92,0,1000,0.0115,1396,255,232,82,431,1396,0
59.34,0,1000,0.0126,1396,255,232,82,431,1396,0
60.80,0,1000,0.0136,1396,255,232,82,431,1396,0
62.15,0,1000,0.0137,1396,255,232,82,431,1396,0
63.58,0,1000,0.0150,1396,255,232,82,431,1396,0
64.99,0,1000,0.0161,1396,255,232,82,431,1396,0
66.41,0,1000,0.0153,1396,255,232,82,431,1396,0
67.59,0,1000,0.0157,1396,255,232,82,431,1396,0
69.00,0,1000,0.0166,1396,255,232,82,431,1396,0
70.41,0,1000,0.0167,1396,255,232,82,431,1396,0
71.84,0,1000,0.0166,1396,255,232,82,431,1396,0
73.26,0,1000,0.0169,1396,255,232,82,431,1396,0
74.66,0,1000,0.0176,1396,255,232,82,431,1396,0
76.43,0,1000,0.0165,1396,255,232,82,431,1396,0
77.88,0,1000,0.0167,1396,255,232,82,431,1396,0
79.31,1,999,0.0149,1396,255,232,82,430,1396,0
80.35,1,999,0.0153,1396,255,232,82,430,1396,0
81.64,1,999,0.0153,1396,255,232,82,430,1396,0
82.68,1,999,0.0154,1396,255,232,82,430,1396,0
84.13,1,999,0.0155,1396,255,232,82,430,1396,0
85.57,1,999,0.0163,1396,255,232,82,430,1396,0
86.98,1,999,0.0168,1396,255,232,82,430,1396,0
87.98,1,999,0.0168,1396,255,232,82,430,1396,0
89.42,1,999,0.0158,1396,255,232,82,430,1396,0
90.88,1,999,0.0165,1396,255,232,82,430,1396,0
91.88,1,999,0.0174,1396,255,232,82,430,1396,0
93.35,1,999,0.0180,1396,255,232,82,430,1396,0
94.76,1,999,0.0182,1396,255,232,82,430,1396,0
96.17,1,999,0.0195,1396,255,232,82,430,1396,0
97.63,1,999,0.0200,1396,255,232,82,430,1396,0
99.02,1,999,0.0209,1396,255,232,82,430,1396,0
100.44,2,998,0.0196,1396,255,232,82,429,1396,0
101.85,2,998,0.0198,1396,255,232,82,429,1396,0
102.89,2,998,0.0196,1396,255,232,82,429,1396,0
104.35,2,998,0.0193,1396,255,232,82,429,1396,0
105.76,2,998,0.0190,1396,255,232,82,429,1396,0
107.16,2,998,0.0191,1396,255,232,82,429,1396,0
108.21,2,998,0.0198,1396,255,232,82,429,1396,0
109.65,4,996,0.0172,1396,254,232,81,429,1396,0
110.66,4,996,0.0172,1396,254,232,81,429,1396,0
111.67,4,996,0.0174,1396,254,232,81,429,1396,0
113.12,4,996,0.0177,1396,254,232,81,429,1396,0
114.51,4,996,0.0163,1396,254,232,81,429,1396,0
115.91,5,995,0.0147,1396,253,232,81,429,1396,0
117.37,5,995,0.0168,1396,253,232,81,429,1396,0
118.38,5,995,0.0168,1396,253,232,81,429,1396,0
119.80,5,995,0.0179,1396,253,232,81,429,1396,0
121.19,5,995,0.0193,1396,253,232,81,429,1396,0
122.61,5,995,0.0183,1396,253,232,81,429,1396,0
124.03,5,995,0.0182,1396,253,232,81,429,1396,0
125.46,5,995,0.0194,1396,253,232,81,429,1396,0
