Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair,Zone_ZoneSensor (1),Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (4)_noSmartSign
0.00,0,1000,0.0000,1558,255,232,82,431,0,1558,0,0
1.40,0,1000,0.0000,1558,255,232,82,431,0,1558,0,0
2.84,0,1000,0.0000,1558,255,232,82,431,0,1558,0,0
4.30,0,1000,0.0000,1558,255,232,82,431,0,1558,0,0
5.73,0,1000,0.0015,1558,255,232,82,431,0,1558,0,0
6.77,0,1000,0.0010,1558,255,232,82,431,0,1558,0,0
8.21,0,1000,0.0012,1558,255,232,82,431,0,1558,0,0
9.65,0,1000,0.0015,1558,255,232,82,431,0,1558,0,0
11.12,0,1000,0.0015,1558,255,232,82,431,0,1558,0,0
12.13,0,1000,0.0015,1558,255,232,82,431,0,1558,0,0
13.57,0,1000,0.0027,1558,255,232,82,431,0,1558,0,0
15.01,0,1000,0.0030,1558,255,232,82,431,0,1558,0,0
16.46,0,1000,0.0030,1558,255,232,82,431,0,1558,0,0
17.90,0,1000,0.0030,1558,255,232,82,431,0,1558,0,0
19.34,0,1000,0.0049,1558,255,232,82,431,0,1558,0,0
20.79,0,1000,0.0040,1558,255,232,82,431,0,1558,0,0
22.26,0,1000,0.0045,1558,255,232,82,431,0,1558,0,0
23.74,0,1000,0.0043,1558,255,232,82,431,0,1558,0,0
25.16,0,1000,0.0043,1558,255,232,82,431,0,1558,0,0
26.17,0,1000,0.0043,1558,255,232,82,431,0,1558,0,0
27.61,0,1000,0.0045,1558,255,232,82,431,0,1558,0,0
29.04,0,1000,0.0042,1558,255,232,82,431,0,1558,0,0
30.48,0,1000,0.0042,1558,255,232,82,431,0,1558,0,0
31.95,0,1000,0.0045,1558,255,232,82,431,0,1558,0,0
33.41,0,1000,0.0045,1558,255,232,82,431,0,1558,0,0
34.84,0,1000,0.0045,1558,255,232,82,431,0,1558,0,0
36.32,0,1000,0.0060,1558,255,232,82,431,0,1558,0,0
37.77,0,1000,0.0055,1558,255,232,82,431,0,1558,0,0
39.22,0,1000,0.0059,1558,255,232,82,431,0,1558,0,0
40.66,0,1000,0.0074,1558,255,232,82,431,0,1558,0,0
41.67,0,1000,0.0075,1558,255,232,82,431,0,1558,0,0
43.12,0,1000,0.0072,1558,255,232,82,431,0,1558,0,0
44.19,0,1000,0.0088,1558,255,232,82,431,0,1558,0,0
45.38,0,1000,0.0087,1558,255,232,82,431,0,1558,0,0
46.57,0,1000,0.0088,1558,255,232,82,431,0,1558,0,0
48.01,0,1000,0.0086,1558,255,232,82,431,0,1558,0,0
49.44,0,1000,0.0092,1558,255,232,82,431,0,1558,0,0
50.86,0,1000,0.0090,1558,255,232,82,431,0,1558,0,0
52.31,0,1000,0.0090,1558,255,232,82,431,0,1558,0,0
53.77,0,1000,0.0091,1558,255,232,82,431,0,1558,0,0
