Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair (3),Zone_ZoneSensor stair (9),Zone_ZoneSensor stair,Zone_ZoneSensor (1),Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (7),Zone_ZoneSensor stair (4)_noSmartSign
0.00,0,1000,0.0000,1722,255,232,82,431,0,0,0,1722,0,0,0
1.01,0,1000,0.0000,1722,255,232,82,431,0,0,0,1722,0,0,0
2.39,0,1000,0.0000,1722,255,232,82,431,0,0,0,1722,0,0,0
3.86,0,1000,0.0000,1722,255,232,82,431,0,0,0,1722,0,0,0
5.32,0,1000,0.0004,1722,255,232,82,431,0,0,0,1722,0,0,0
6.76,0,1000,0.0010,1722,255,232,82,431,0,0,0,1722,0,0,0
7.80,0,1000,0.0012,1722,255,232,82,431,0,0,0,1722,0,0,0
9.23,0,1000,0.0014,1722,255,232,82,431,0,0,0,1722,0,0,0
10.68,0,1000,0.0015,1722,255,232,82,431,0,0,0,1722,0,0,0
12.16,0,1000,0.0015,1722,255,232,82,431,0,0,0,1722,0,0,0
13.61,0,1000,0.0027,1722,255,232,82,431,0,0,0,1722,0,0,0
14.91,0,1000,0.0031,1722,255,232,82,431,0,0,0,1722,0,0,0
15.92,0,1000,0.0028,1722,255,232,82,431,0,0,0,1722,0,0,0
16.94,0,1000,0.0030,1722,255,232,82,431,0,0,0,1722,0,0,0
18.41,0,1000,0.0027,1722,255,232,82,431,0,0,0,1722,0,0,0
19.87,0,1000,0.0053,1722,255,232,82,431,0,0,0,1722,0,0,0
21.30,0,1000,0.0047,1722,255,232,82,431,0,0,0,1722,0,0,0
22.69,0,1000,0.0055,1722,255,232,82,431,0,0,0,1722,0,0,0
24.15,0,1000,0.0051,1722,255,232,82,431,0,0,0,1722,0,0,0
25.60,0,1000,0.0045,1722,255,232,82,431,0,0,0,1722,0,0,0
27.05,0,1000,0.0047,1722,255,232,82,431,0,0,0,1722,0,0,0
28.51,0,1000,0.0049,1722,255,232,82,431,0,0,0,1722,0,0,0
29.98,0,1000,0.0045,1722,255,232,82,431,0,0,0,1722,0,0,0
31.43,0,1000,0.0051,1722,255,232,82,431,0,0,0,1722,0,0,0
32.43,0,1000,0.0049,1722,255,232,82,431,0,0,0,1722,0,0,0
33.90,0,1000,0.0046,1722,255,232,82,431,0,0,0,1722,0,0,0
35.35,0,1000,0.0049,1722,255,232,82,431,0,0,0,1722,0,0,0
36.82,0,1000,0.0051,1722,255,232,82,431,0,0,0,1722,0,0,0
37.84,0,1000,0.0048,1722,255,232,82,431,0,0,0,1722,0,0,0
38.87,0,1000,0.0057,1722,255,232,82,431,0,0,0,1722,0,0,0
40.33,0,1000,0.0057,1722,255,232,82,431,0,0,0,1722,0,0,0
41.80,0,1000,0.0080,1722,255,232,82,431,0,0,0,1722,0,0,0
42.85,0,1000,0.0076,1722,255,232,82,431,0,0,0,1722,0,0,0
43.92,0,1000,0.0078,1722,255,232,82,431,0,0,0,1722,0,0,0
45.27,0,1000,0.0081,1722,255,232,82,431,0,0,0,1722,0,0,0
46.44,0,1000,0.0080,1722,255,232,83,430,0,2,0,1722,0,2,0
47.54,0,1000,0.0095,1722,255,232,83,430,0,2,0,1722,0,2,0
49.00,0,1000,0.0092,1722,255,232,83,430,0,0,0,1722,0,0,0
50.47,0,1000,0.0098,1722,255,232,83,430,0,0,0,1722,0,0,0
51.93,0,1000,0.0094,1722,255,232,83,430,0,0,0,1722,0,0,0
52.95,0,1000,0.0097,1722,255,232,83,430,0,0,0,1722,0,0,0
54.43,0,1000,0.0097,1722,255,232,83,430,0,0,0,1722,0,0,0
55.87,0,1000,0.0109,1722,255,232,83,430,0,0,0,1722,0,0,0
57.35,0,1000,0.0111,1722,255,232,83,430,0,0,0,1722,0,0,0
58.80,0,1000,0.0113,1722,255,232,83,430,0,0,0,1722,0,0,0
59.81,0,1000,0.0118,1722,255,232,83,430,0,0,0,1722,0,0,0
60.86,0,1000,0.0132,1722,255,232,83,430,0,0,0,1722,0,0,0
62.33,0,1000,0.0144,1722,255,232,83,430,0,0,0,1722,0,0,0
63.35,0,1000,0.0150,1722,255,232,83,430,0,0,0,1722,0,0,0
64.79,0,1000,0.0138,1722,255,232,83,430,0,0,0,1722,0,0,0
66.23,0,1000,0.0154,1722,255,232,83,430,0,0,0,1722,0,0,0
67.72,0,1000,0.0165,1722,255,232,83,430,0,0,0,1722,0,0,0
69.21,0,1000,0.0166,1722,255,232,84,429,0,0,0,1722,0,2,0
70.65,0,1000,0.0175,1722,255,232,84,429,0,0,0,1722,0,2,0
72.11,0,1000,0.0172,1722,255,232,84,429,0,0,0,1722,0,0,0
73.12,0,1000,0.0177,1722,255,232,84,429,0,0,0,1722,0,0,0
74.57,0,1000,0.0170,1722,255,232,84,429,0,0,0,1722,0,0,0
76.01,0,1000,0.0171,1722,255,232,84,429,0,0,0,1722,0,0,0
77.49,0,1000,0.0175,1722,255,232,84,429,0,0,0,1722,0,0,0
78.62,0,1000,0.0175,1722,255,232,84,429,0,0,0,1722,0,0,0
80.07,1,999,0.0155,1722,255,232,83,429,0,0,0,1722,0,0,0
81.47,1,999,0.0156,1722,255,232,83,429,0,0,0,1722,0,0,0
82.56,1,999,0.0158,1722,255,232,83,429,0,0,0,1722,0,2,0
83.57,1,999,0.0148,1722,255,232,83,429,0,0,0,1722,0,2,0
85.01,1,999,0.0149,1722,255,232,83,429,0,0,0,1722,0,0,0
86.44,1,999,0.0153,1722,255,232,83,429,0,0,0,1722,0,0,0
87.96,1,999,0.0165,1722,255,232,83,429,0,0,0,1722,0,0,0
89.40,1,999,0.0166,1722,255,232,83,429,0,0,0,1722,0,0,0
90.86,1,999,0.0160,1722,255,232,83,429,0,0,0,1722,0,0,0
92.30,1,999,0.0155,1722,255,232,83,429,0,0,0,1722,0,0,0
93.33,1,999,0.0167,1722,255,232,83,429,0,0,0,1722,0,0,0
94.79,1,999,0.0167,1722,255,232,83,429,0,0,0,1722,0,0,0
96.25,1,999,0.0183,1722,255,232,83,429,0,0,0,1722,0,0,0
97.75,1,999,0.0189,1722,255,232,83,429,0,0,0,1722,0,0,0
99.20,1,999,0.0188,1722,255,232,83,429,0,0,0,1722,0,0,0
100.20,1,999,0.0199,1722,255,232,83,429,0,0,0,1722,0,0,0
101.65,2,998,0.0195,1722,255,232,82,429,0,0,0,1722,0,0,0
102.69,2,998,0.0205,1722,255,232,82,429,0,0,0,1722,0,0,0
103.76,2,998,0.0199,1722,255,232,82,429,0,0,0,1722,0,0,0
104.78,2,998,0.0197,1722,255,232,82,429,0,0,0,1722,0,0,0
106.23,2,998,0.0196,1722,255,232,82,429,0,0,0,1722,0,0,0
107.75,2,998,0.0194,1722,255,232,83,428,0,0,0,1722,0,2,0
108.75,3,997,0.0175,1722,254,232,83,428,0,0,0,1722,0,2,0
109.76,3,997,0.0180,1722,254,232,83,428,0,0,0,1722,0,0,0
111.23,4,996,0.0174,1722,254,232,82,428,0,0,0,1722,0,0,0
112.25,4,996,0.0169,1722,254,232,82,428,0,0,0,1722,0,0,0
113.30,4,996,0.0178,1722,254,232,82,428,0,0,0,1722,0,0,0
114.31,4,996,0.0171,1722,254,232,82,428,0,0,0,1722,0,0,0
115.74,4,996,0.0170,1722,254,232,82,428,0,0,0,1722,0,0,0
