Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Group 5639,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair (4)_noSmartSign,Zone_ZoneSensor (1)
0.00,0,250,0.0000,92,53,16,62,28,91,0,92
1.07,0,250,0.0046,92,53,16,62,28,91,0,92
2.12,0,250,0.0110,92,53,16,62,28,91,0,92
3.19,0,250,0.0120,92,53,16,62,28,91,0,92
4.22,0,250,0.0170,92,53,16,62,28,91,0,92
5.31,0,250,0.0180,92,53,16,62,28,91,0,92
6.37,0,250,0.0236,92,53,16,62,28,91,0,92
7.49,0,250,0.0180,92,53,16,62,28,91,0,92
8.57,0,250,0.0180,92,53,16,62,28,91,0,92
9.69,0,250,0.0219,92,53,16,62,28,91,0,92
10.77,0,250,0.0240,92,53,16,62,28,91,0,92
11.85,0,250,0.0290,92,53,16,62,28,91,0,92
12.93,0,250,0.0350,92,53,16,62,28,91,0,92
14.02,0,250,0.0339,92,53,16,62,28,91,0,92
15.18,0,250,0.0410,92,53,16,62,28,91,0,92
16.26,0,250,0.0410,92,53,16,62,28,91,0,92
17.41,0,250,0.0513,92,53,16,62,28,91,0,92
18.52,0,250,0.0582,92,53,16,62,28,91,0,92
19.65,0,250,0.0631,92,53,16,62,28,91,0,92
20.76,0,250,0.0769,92,53,16,62,28,91,0,92
21.86,0,250,0.0730,92,53,16,62,28,91,0,92
22.98,0,250,0.0731,92,53,16,62,28,91,0,92
24.09,0,250,0.0718,92,53,16,62,28,91,0,92
25.20,0,250,0.0713,92,53,16,62,28,91,0,92
26.31,0,250,0.0826,92,53,16,62,28,91,0,92
27.41,0,250,0.0833,92,53,16,62,28,91,0,92
28.51,0,250,0.0840,92,53,16,62,28,91,0,92
29.69,0,250,0.0842,92,53,16,62,28,91,0,92
30.79,0,250,0.0891,92,53,16,62,28,91,0,92
31.84,0,250,0.0949,92,53,16,62,28,91,0,92
32.84,0,250,0.0985,92,53,16,62,28,91,0,92
33.93,0,250,0.1036,92,53,16,62,28,91,0,92
35.05,0,250,0.1146,92,53,16,62,28,91,0,92
36.16,0,250,0.1142,92,53,16,62,28,91,0,92
37.28,0,250,0.1202,92,53,16,62,28,91,0,92
38.29,0,250,0.1209,92,53,16,62,28,91,0,92
39.43,0,250,0.1249,92,53,16,62,28,91,0,92
40.48,0,250,0.1250,92,53,16,62,28,91,0,92
41.61,0,250,0.1303,92,53,16,62,28,91,0,92
42.76,0,250,0.1285,92,53,16,62,28,91,0,92
43.86,0,250,0.1484,92,53,16,62,28,91,0,92
45.33,0,250,0.1536,92,53,16,62,28,91,0,92
46.49,1,249,0.1586,92,52,16,62,28,91,0,92
47.58,1,249,0.1604,92,52,16,62,28,91,0,92
48.69,1,249,0.1589,92,52,16,62,28,91,0,92
49.83,1,249,0.1705,92,52,16,62,28,91,0,92
50.93,1,249,0.1871,92,52,16,62,28,91,0,92
51.99,1,249,0.1776,92,52,16,62,28,91,0,92
53.07,1,249,0.1943,92,52,16,62,28,91,0,92
54.24,1,249,0.1929,92,52,16,62,28,91,0,92
55.30,1,249,0.1865,92,52,16,62,28,91,0,92
56.83,1,249,0.1855,92,52,16,62,28,91,0,92
57.94,1,249,0.1890,92,52,16,62,28,91,0,92
59.01,1,249,0.1948,92,52,16,62,28,91,0,92
60.09,1,249,0.1956,92,52,16,62,28,91,0,92
61.27,1,249,0.2053,92,52,16,62,28,91,0,92
62.33,2,248,0.2070,92,52,16,61,28,91,0,92
63.46,2,248,0.2144,92,52,16,61,28,91,0,92
64.62,2,248,0.2089,92,52,16,61,28,91,0,92
65.78,2,248,0.2093,92,52,16,61,28,91,0,92
66.86,3,247,0.2047,92,52,16,61,28,90,0,92
67.89,3,247,0.2045,92,52,16,61,28,90,0,92
69.00,3,247,0.2054,92,52,16,61,28,90,0,92
70.13,3,247,0.2037,94,52,16,61,28,90,0,94
71.21,3,247,0.2015,94,52,16,61,28,90,0,94
72.29,4,246,0.2009,94,52,16,61,28,89,0,94
73.39,6,244,0.1903,94,51,15,61,28,89,0,94
74.49,6,244,0.1928,96,51,15,61,28,89,0,96
75.58,6,244,0.1943,96,51,15,61,28,89,0,96
76.59,7,243,0.1927,96,51,15,61,28,88,0,96
77.71,7,243,0.2005,96,51,15,61,28,88,0,96
78.80,7,243,0.2019,96,51,15,61,28,88,2,96
79.95,7,243,0.2017,96,51,15,61,28,88,2,96
81.03,8,242,0.2022,96,51,15,61,28,87,2,96
82.11,9,241,0.1977,96,51,15,60,28,87,2,96
83.22,9,241,0.2047,96,51,15,60,28,87,2,96
84.30,9,241,0.2093,98,51,15,60,28,87,2,98
85.38,12,238,0.1903,98,50,15,60,27,86,2,98
86.45,12,238,0.1934,98,50,15,60,27,86,2,98
87.49,12,238,0.2071,98,50,15,60,27,86,4,98
88.55,13,237,0.2057,98,50,15,59,27,86,4,98
