Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Group 5639,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair (3),Zone_ZoneSensor stair (4),Zone_ZoneSensor stair (7),Zone_ZoneSensor stair,Zone_ZoneSensor (1),Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (1),Zone_ZoneSensor stair (5),Zone_ZoneSensor stair (2),Zone_ZoneSensor stair (9),Zone_ZoneSensor stair (10),Zone_ZoneSensor stair (8)
0.00,0,250,0.0000,0,52,26,45,26,101,0,0,0,0,0,0,0,0,0,0,0,0
1.01,4,246,0.0133,0,50,25,44,26,101,0,0,0,0,0,0,0,0,0,0,0,0
2.02,4,246,0.0317,0,50,25,44,26,101,0,0,0,0,0,0,0,0,0,0,0,0
3.03,4,246,0.0566,0,50,25,44,26,101,0,0,0,0,0,0,0,0,0,0,0,0
4.04,4,246,0.0738,0,50,25,44,26,101,0,0,0,0,0,0,0,0,0,0,0,0
5.05,4,246,0.0878,0,50,25,44,26,101,0,0,0,0,0,0,0,0,0,0,0,0
6.06,4,246,0.0976,0,50,25,44,26,101,0,0,0,0,0,0,0,0,0,0,0,0
7.07,4,246,0.1056,0,50,25,44,26,101,0,0,0,0,0,0,0,0,0,0,0,0
8.08,4,246,0.1393,0,50,25,44,26,101,0,0,0,0,0,0,0,0,0,0,0,0
9.10,4,246,0.1455,0,50,25,44,26,101,0,0,0,0,0,0,0,0,0,0,0,0
10.10,4,246,0.1657,0,50,25,44,26,101,0,0,0,0,0,0,0,0,0,0,0,0
11.11,4,246,0.1893,0,50,25,44,26,101,0,0,0,0,0,0,0,0,0,0,0,0
12.12,4,246,0.2065,0,50,25,44,26,101,0,0,0,0,0,0,0,0,0,0,0,0
13.14,4,246,0.2259,0,50,25,44,26,101,0,0,0,0,0,0,0,0,0,0,0,0
14.15,4,246,0.2500,0,50,25,44,26,101,0,0,0,0,0,0,0,0,0,0,0,0
15.16,5,245,0.2667,0,50,25,44,25,101,0,0,0,0,0,0,0,0,0,0,0,0
16.18,5,245,0.2781,0,50,25,44,25,101,0,0,0,0,0,0,0,0,0,0,0,0
17.19,5,245,0.2845,0,50,25,44,25,101,0,0,0,0,0,0,0,0,0,0,0,0
18.20,5,245,0.3009,0,50,25,44,25,101,0,0,0,0,0,0,0,0,0,0,0,0
19.21,5,245,0.3139,0,50,25,44,25,101,0,0,0,0,0,0,0,0,0,0,0,0
20.22,6,244,0.3146,0,50,24,44,25,101,0,0,0,0,0,0,0,0,0,0,0,0
21.22,6,244,0.3210,0,50,24,44,25,101,0,0,0,0,0,0,0,0,0,0,0,0
22.23,6,244,0.3305,0,50,24,44,25,101,0,0,0,0,0,0,0,0,0,0,0,0
