Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Group 5639,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair (11),Zone_ZoneSensor stair (4)_noSmartSign,Zone_ZoneSensor (1),Zone_ZoneSensor stair (6)
0.00,0,250,0.0000,42,49,26,55,26,94,0,0,42,0
1.16,3,247,0.0000,42,47,25,55,26,94,0,0,42,0
2.30,3,247,0.0000,42,47,25,55,26,94,0,0,42,0
3.33,3,247,0.0000,42,47,25,55,26,94,0,0,42,0
4.39,3,247,0.0057,42,47,25,55,26,94,0,0,42,0
5.42,3,247,0.0029,42,47,25,55,26,94,0,0,42,0
6.52,3,247,0.0022,42,47,25,55,26,94,0,0,42,0
7.63,3,247,0.0161,42,47,25,55,26,94,0,0,42,0
8.72,3,247,0.0143,42,47,25,55,26,94,0,0,42,0
9.82,3,247,0.0173,42,47,25,55,26,94,0,0,42,0
10.87,3,247,0.0287,42,47,25,55,26,94,0,0,42,0
11.87,3,247,0.0304,42,47,25,55,26,94,0,0,42,0
12.89,3,247,0.0293,42,47,25,55,26,94,0,0,42,0
13.90,3,247,0.0293,42,47,25,55,26,94,0,0,42,0
14.93,3,247,0.0302,42,47,25,55,26,94,0,0,42,0
15.94,3,247,0.0293,42,47,25,55,26,94,0,0,42,0
17.04,4,246,0.0245,42,47,25,55,26,93,0,0,42,0
18.09,4,246,0.0243,42,47,25,55,26,93,0,0,42,0
19.13,4,246,0.0365,42,47,25,55,26,93,0,0,42,0
20.21,4,246,0.0365,42,47,25,55,26,93,0,0,42,0
21.23,4,246,0.0364,42,47,25,55,26,93,0,0,42,0
22.29,4,246,0.0451,42,47,25,55,26,93,0,0,42,0
23.35,4,246,0.0403,42,47,25,55,26,93,0,0,42,0
24.41,4,246,0.0414,42,47,25,55,26,93,0,0,42,0
25.41,4,246,0.0403,42,47,25,55,26,93,0,0,42,0
26.45,4,246,0.0413,42,47,25,55,26,93,0,0,42,0
27.50,4,246,0.0423,42,47,25,55,26,93,0,0,42,0
28.52,4,246,0.0569,42,47,25,55,26,93,0,0,42,0
29.66,4,246,0.0695,42,47,25,55,26,93,0,0,42,0
30.79,4,246,0.0775,42,47,25,55,26,93,0,0,42,0
31.90,4,246,0.0843,42,47,25,55,26,93,0,0,42,0
33.02,4,246,0.0889,42,47,25,55,26,93,0,0,42,0
34.15,4,246,0.0962,42,47,25,55,26,93,0,0,42,0
35.29,4,246,0.1005,42,47,25,55,26,93,0,0,42,0
36.40,4,246,0.1003,42,47,25,55,26,93,0,0,42,0
37.43,4,246,0.0996,42,47,25,55,26,93,0,0,42,0
38.45,4,246,0.1016,42,47,25,55,26,93,0,0,42,0
39.54,5,245,0.0925,42,47,25,55,25,93,0,0,42,0
40.60,5,245,0.0948,42,47,25,55,25,93,0,0,42,0
41.72,5,245,0.1047,42,47,25,55,25,93,0,0,42,0
43.00,5,245,0.0989,42,47,25,55,25,93,0,0,42,0
44.04,5,245,0.0997,42,47,25,55,25,93,0,0,42,0
45.18,5,245,0.0987,42,47,24,55,25,93,2,0,42,0
46.31,5,245,0.0975,42,47,24,55,25,93,2,0,42,0
47.41,7,243,0.0864,42,47,22,55,25,93,2,0,42,0
48.43,7,243,0.0906,42,47,22,55,25,93,2,0,42,0
49.44,7,243,0.0960,42,47,22,55,25,93,0,0,42,0
50.51,7,243,0.0975,42,47,22,55,25,93,0,0,42,0
51.54,7,243,0.0969,42,47,22,55,25,93,0,0,42,0
52.66,7,243,0.0983,42,47,22,55,25,93,0,0,42,0
53.79,7,243,0.1034,42,47,22,55,25,93,0,0,42,0
54.89,7,243,0.1022,42,47,22,55,25,93,0,0,42,0
55.93,7,243,0.1020,42,47,22,55,25,93,0,0,42,0
57.07,7,243,0.1038,42,47,22,55,25,93,0,0,42,0
58.14,7,243,0.1060,42,47,22,55,25,93,0,2,42,0
59.20,7,243,0.1107,42,47,22,55,25,93,0,2,42,0
60.25,7,243,0.1098,44,47,22,55,25,93,0,2,44,0
61.31,8,242,0.1054,44,47,22,55,25,92,0,2,44,0
62.34,8,242,0.1073,46,47,22,55,25,92,0,4,46,0
63.36,9,241,0.1161,46,47,22,55,25,91,0,4,46,0
64.39,9,241,0.1350,46,47,22,55,25,91,0,2,46,0
65.52,9,241,0.1361,46,47,22,55,25,91,0,2,46,0
