Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Group 5639,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair (11),Zone_ZoneSensor stair (4)_noSmartSign,Zone_ZoneSensor (1),Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (9),Zone_ZoneSensor stair (10),Zone_ZoneSensor stair (8)
0.00,0,250,0.0000,60,49,26,55,26,94,0,0,60,0,0,0,0
1.01,2,248,0.0060,60,47,26,55,26,94,0,0,60,0,0,0,0
2.02,3,247,0.0000,60,47,25,55,26,94,0,0,60,0,0,0,0
3.02,3,247,0.0204,60,47,25,55,26,94,0,0,60,0,0,0,0
4.17,3,247,0.0091,60,47,25,55,26,94,0,0,60,0,0,0,0
5.46,3,247,0.0080,60,47,25,55,26,94,0,0,60,0,0,0,0
6.58,3,247,0.0237,60,47,25,55,26,94,0,0,60,0,0,0,0
7.71,3,247,0.0243,60,47,25,55,26,94,0,0,60,0,0,0,0
8.79,3,247,0.0304,60,47,25,55,26,94,0,0,60,0,0,0,0
9.92,3,247,0.0364,60,47,25,55,26,94,0,0,60,0,0,0,0
11.25,3,247,0.0354,60,47,25,55,26,94,0,0,60,0,0,0,0
12.36,3,247,0.0348,60,47,25,55,26,94,0,0,60,0,0,0,0
13.48,3,247,0.0353,60,47,25,55,26,94,0,0,60,0,0,0,0
14.59,3,247,0.0353,60,47,25,55,26,94,0,0,60,0,0,0,0
15.65,4,246,0.0426,60,47,25,55,26,93,0,0,60,0,0,0,0
16.71,4,246,0.0415,60,47,25,55,26,93,0,0,60,0,0,0,0
17.72,4,246,0.0425,60,47,25,55,26,93,0,0,60,0,0,0,0
18.82,4,246,0.0591,60,47,25,55,26,93,0,0,60,0,0,0,0
19.90,4,246,0.0475,60,47,25,55,26,93,0,0,60,0,0,0,0
20.98,4,246,0.0475,60,47,25,55,26,93,0,0,60,0,0,0,0
22.04,5,245,0.0416,60,47,24,55,26,93,0,0,60,0,0,0,0
23.15,5,245,0.0527,60,47,24,55,26,93,0,0,60,0,0,0,0
24.19,5,245,0.0649,60,47,24,55,26,93,0,0,60,0,0,0,0
25.24,5,245,0.0730,60,47,24,55,26,93,0,0,60,0,0,0,0
26.36,5,245,0.0790,60,47,24,55,26,93,0,0,60,0,0,0,0
27.37,5,245,0.0840,60,47,24,55,26,93,0,0,60,0,0,0,0
28.37,5,245,0.0900,60,47,24,55,26,93,0,0,60,0,0,0,0
29.38,5,245,0.0934,60,47,24,55,26,93,0,0,60,0,0,0,0
30.48,5,245,0.0951,60,47,24,55,26,93,0,0,60,0,0,0,0
31.60,5,245,0.0929,60,47,24,55,26,93,0,0,60,0,0,0,0
32.74,5,245,0.0915,60,47,24,55,26,93,0,0,60,0,0,0,0
33.81,6,244,0.0882,60,47,24,55,25,93,0,0,60,0,0,0,0
34.89,6,244,0.0948,60,47,24,55,25,93,0,0,60,0,0,0,0
36.06,6,244,0.0993,60,47,24,55,26,92,0,0,60,0,0,0,2
37.13,6,244,0.0952,60,47,24,55,27,91,0,0,60,0,0,0,2
38.28,6,244,0.0928,60,47,24,55,27,91,0,0,60,0,0,0,2
39.36,6,244,0.0924,60,47,24,55,27,91,0,0,60,0,0,0,0
40.45,6,244,0.0957,60,47,23,55,27,91,2,0,60,0,0,0,0
41.57,7,243,0.0938,60,47,22,55,27,91,2,0,60,0,0,0,0
42.60,7,243,0.0967,60,47,22,55,27,91,2,0,60,0,0,0,0
43.75,7,243,0.0956,60,47,22,55,27,91,2,0,60,0,0,0,0
44.89,7,243,0.0949,60,47,22,55,27,91,0,0,60,0,0,0,0
46.05,7,243,0.0954,60,47,22,55,27,91,0,0,60,0,0,0,0
47.18,7,243,0.0973,60,47,22,55,27,91,0,0,60,0,0,0,0
48.30,7,243,0.1027,60,47,22,55,27,91,0,0,60,0,0,0,0
49.43,7,243,0.1026,60,47,22,55,27,91,0,0,60,0,0,0,0
50.55,7,243,0.1043,60,47,22,55,27,91,0,0,60,0,0,0,0
51.68,7,243,0.1042,60,47,22,55,27,91,0,0,60,0,0,0,0
52.83,7,243,0.1039,60,47,22,55,27,91,0,0,60,0,0,0,0
54.00,7,243,0.1024,60,47,22,55,27,91,0,0,60,0,0,0,0
55.01,7,243,0.1102,60,47,22,55,27,91,0,0,60,0,0,0,0
56.12,7,243,0.1110,60,47,22,55,27,91,0,2,60,0,0,0,0
57.28,7,243,0.1115,60,47,22,55,27,91,0,4,60,0,0,0,0
58.30,7,243,0.1110,60,47,22,55,27,91,0,4,60,0,0,0,0
59.35,7,243,0.1291,64,47,22,55,27,91,0,4,64,0,0,0,0
60.36,8,242,0.1415,64,47,22,55,27,90,0,4,64,0,0,0,0
61.37,9,241,0.1318,64,47,22,55,27,89,0,6,64,0,0,0,0
62.43,9,241,0.1369,64,47,22,55,27,89,0,4,64,0,0,0,0
63.58,9,241,0.1330,64,47,22,55,27,89,0,2,64,0,0,0,0
64.73,9,241,0.1336,64,47,22,55,27,89,0,2,64,0,0,0,0
65.90,10,240,0.1407,64,46,22,55,27,89,0,2,64,0,0,0,0
66.90,10,240,0.1410,64,46,22,55,27,89,0,2,64,0,0,0,0
68.05,10,240,0.1522,64,46,22,55,27,89,0,0,64,0,0,0,0
69.19,10,240,0.1461,64,46,22,55,27,89,0,0,64,0,0,0,0
70.32,11,239,0.1428,64,46,21,55,27,89,0,0,64,0,0,0,0
71.50,12,238,0.1362,64,46,21,55,27,89,0,0,64,0,0,0,0
72.62,12,238,0.1344,64,46,21,55,27,89,0,0,64,0,0,0,0
73.67,12,238,0.1394,64,46,21,55,27,89,0,0,64,0,0,0,0
74.68,12,238,0.1382,64,46,21,55,27,89,0,0,64,0,0,0,0
75.71,12,238,0.1463,64,46,21,55,27,89,0,0,64,0,0,0,0
76.82,12,238,0.1409,64,46,21,55,27,89,0,0,64,0,0,0,0
77.87,12,238,0.1408,64,46,21,55,27,89,0,0,64,0,0,0,0
78.91,12,238,0.1418,64,46,21,55,27,89,0,0,64,0,0,0,0
80.11,12,238,0.1460,64,46,21,55,27,89,0,0,64,2,0,0,0
81.16,12,238,0.1439,64,46,21,55,27,89,0,0,64,2,0,0,0
82.18,12,238,0.1421,64,46,21,55,27,89,0,0,64,2,0,0,0
83.20,13,237,0.1505,64,46,21,54,27,89,0,0,64,2,0,0,0
84.26,15,235,0.1537,64,46,21,54,25,89,0,0,64,2,0,0,0
85.28,15,235,0.1548,66,46,21,54,26,88,0,0,66,0,2,0,0
86.30,16,234,0.1596,66,46,21,54,26,87,0,0,66,0,2,0,2
87.46,17,233,0.1522,66,45,21,54,26,87,0,0,66,0,0,0,2
88.67,18,232,0.1470,66,45,21,54,26,86,0,0,66,0,0,0,0
89.80,18,232,0.1475,66,45,21,54,26,86,0,0,66,0,0,0,0
90.92,18,232,0.1480,66,45,21,54,26,86,0,0,66,0,0,0,0
91.96,18,232,0.1463,66,45,21,54,26,86,0,0,66,0,0,0,0
93.02,18,232,0.1474,66,45,21,54,26,86,0,0,66,0,0,0,0
94.18,18,232,0.1600,66,45,21,54,26,86,0,0,66,0,0,0,0
95.31,18,232,0.1622,66,45,21,54,26,86,0,0,66,0,0,0,0
96.34,18,232,0.1716,66,45,21,54,26,86,0,0,66,0,0,0,0
97.39,18,232,0.1671,66,45,21,54,26,86,0,0,66,0,0,0,0
98.42,21,229,0.1494,66,44,21,53,26,85,0,0,66,0,0,0,0
99.53,21,229,0.1618,66,44,21,53,26,85,0,0,66,0,0,0,0
100.63,21,229,0.1609,66,44,21,53,27,84,0,0,66,0,2,0,0
101.76,21,229,0.1619,66,44,21,53,27,84,0,0,66,0,0,0,2
102.87,21,229,0.1691,66,44,21,53,27,84,0,0,66,2,0,0,0
103.93,21,229,0.1727,66,44,21,53,27,84,0,0,66,2,0,0,0
105.09,21,229,0.1762,66,44,21,53,27,84,0,0,66,4,0,0,0
106.11,21,229,0.1788,66,44,21,53,27,84,0,0,66,6,0,0,0
107.16,21,229,0.1756,68,44,21,53,27,84,0,0,68,6,0,0,0
108.20,22,228,0.1684,68,44,21,53,28,82,0,0,68,6,0,0,2
109.40,22,228,0.1663,68,44,21,53,28,82,0,0,68,4,0,0,2
110.51,22,228,0.1742,68,44,21,53,28,82,0,0,68,6,0,0,0
111.63,22,228,0.1815,68,44,21,53,28,82,0,0,68,4,0,0,0
112.64,22,228,0.1850,68,44,21,53,28,82,0,0,68,2,0,0,0
113.81,22,228,0.1935,68,44,21,53,28,82,0,0,68,2,0,0,0
114.82,22,228,0.2019,68,44,21,53,28,82,0,0,68,2,0,0,0
115.90,22,228,0.2070,68,44,21,53,28,82,0,0,68,0,0,0,0
117.10,23,227,0.1958,68,44,20,53,28,82,0,0,68,0,0,0,2
118.25,23,227,0.2006,68,44,20,53,28,82,0,0,68,0,0,0,0
119.42,23,227,0.2009,68,44,20,53,28,82,0,0,68,0,0,0,0
120.46,23,227,0.2049,68,44,20,53,29,81,0,0,68,0,2,0,0
121.62,24,226,0.2061,68,44,20,52,29,81,0,0,68,0,2,0,0
122.67,24,226,0.2019,68,44,20,52,29,81,0,0,68,0,0,0,0
123.70,26,224,0.1952,68,43,20,51,29,81,0,0,68,0,0,0,0
124.84,28,222,0.1925,68,43,20,49,29,81,0,0,68,0,0,0,0
125.86,29,221,0.1937,68,43,20,49,28,81,0,0,68,0,0,0,0
126.99,29,221,0.1971,68,43,20,49,28,81,0,0,68,0,0,0,0
128.09,29,221,0.1960,68,43,20,49,28,81,0,0,68,0,0,0,0
129.23,30,220,0.1974,68,43,20,48,28,81,0,0,68,0,0,0,0
130.41,30,220,0.1943,68,43,20,48,29,80,0,0,68,0,2,0,0
131.55,30,220,0.1972,68,43,20,48,29,80,0,0,68,0,0,0,0
132.67,30,220,0.1997,68,43,20,48,29,80,0,0,68,0,0,0,0
133.95,33,217,0.1836,68,43,20,47,28,79,0,0,68,0,0,0,0
135.05,34,216,0.1793,68,43,19,47,28,78,2,0,68,0,0,0,0
136.14,34,216,0.1767,68,43,19,47,28,78,2,0,68,0,0,0,0
137.15,34,216,0.1767,68,43,19,47,28,78,2,0,68,0,0,0,2
138.28,34,216,0.1839,68,43,19,47,28,78,0,0,68,0,0,0,0
139.37,34,216,0.1814,68,43,19,47,28,78,0,0,68,0,0,0,0
140.43,34,216,0.1801,68,43,19,47,28,78,0,0,68,0,0,0,0
141.58,34,216,0.1800,68,43,19,47,28,78,0,0,68,0,0,0,0
142.72,34,216,0.1776,68,43,19,47,28,78,0,0,68,0,0,0,0
143.88,34,216,0.1766,68,43,19,47,28,78,0,0,68,0,0,0,0
145.02,34,216,0.1848,68,43,19,47,28,78,0,0,68,0,0,0,0
146.11,34,216,0.1830,68,43,19,47,28,78,0,0,68,0,0,0,2
147.21,35,215,0.1785,68,42,19,47,28,78,0,0,68,0,0,0,2
148.26,36,214,0.1796,68,42,19,47,27,78,0,0,68,0,0,0,0
149.33,36,214,0.1861,68,42,19,47,27,78,0,0,68,0,0,0,0
150.43,36,214,0.1927,68,42,19,47,27,78,0,0,68,0,0,0,0
151.58,36,214,0.2088,68,42,19,47,27,78,0,0,68,0,0,0,0
152.66,36,214,0.1996,68,42,19,47,27,78,0,0,68,0,0,0,0
153.82,37,213,0.1918,68,42,19,47,27,77,0,0,68,0,0,0,0
154.89,37,213,0.1930,68,42,19,47,27,77,0,0,68,0,0,0,0
156.03,39,211,0.1849,68,42,18,47,25,77,2,0,68,0,0,0,0
157.16,39,211,0.1864,68,42,18,47,25,77,2,0,68,0,0,0,0
158.23,41,209,0.1833,68,42,18,47,25,75,0,0,68,0,0,0,0
159.27,41,209,0.1798,68,42,18,47,25,75,0,0,68,0,0,0,0
160.35,41,209,0.1721,68,42,18,47,25,75,0,0,68,0,0,0,0
161.48,41,209,0.1800,68,42,18,47,25,75,0,0,68,0,0,0,0
162.57,41,209,0.1756,68,42,18,47,25,75,0,0,68,0,0,0,0
163.58,42,208,0.1807,68,42,18,47,24,75,0,0,68,0,0,0,0
164.60,42,208,0.1841,68,42,18,47,24,75,0,0,68,0,0,0,0
165.67,43,207,0.1758,68,42,18,47,24,75,0,0,68,0,0,0,0
166.81,43,207,0.1844,68,42,18,47,24,75,0,0,68,0,0,0,0
167.89,44,206,0.1770,68,42,18,47,24,74,0,0,68,0,0,0,0
168.91,45,205,0.1670,68,42,18,46,24,74,0,0,68,0,0,0,0
169.98,45,205,0.1679,68,42,18,46,24,74,0,0,68,0,0,0,0
171.10,45,205,0.1716,68,42,18,46,24,74,0,0,68,0,0,0,0
172.19,45,205,0.1769,68,42,18,46,24,74,0,0,68,0,0,0,0
173.21,45,205,0.1756,70,42,18,46,24,74,0,0,70,0,0,0,0
174.28,46,204,0.1706,70,42,18,46,24,73,0,0,70,0,0,0,0
175.42,46,204,0.1780,70,42,18,46,24,73,0,0,70,0,0,0,0
176.47,46,204,0.1758,70,42,18,46,24,73,0,0,70,0,0,0,0
177.48,47,203,0.1723,70,42,18,46,24,72,0,0,70,0,0,0,0
178.50,47,203,0.1705,70,42,18,46,24,72,0,0,70,0,0,0,0
179.54,48,202,0.1700,70,41,18,46,24,72,0,0,70,0,0,0,0
180.68,48,202,0.1731,70,41,18,46,24,72,0,0,70,0,0,0,0
181.74,48,202,0.1761,70,41,18,46,24,72,0,0,70,0,0,0,0
182.84,48,202,0.1753,70,41,18,46,24,72,0,0,70,0,0,0,0
183.95,48,202,0.1735,70,41,17,46,24,72,2,0,70,0,0,0,0
184.96,49,201,0.1739,70,41,17,46,24,71,2,0,70,0,0,0,0
186.07,51,199,0.1590,70,41,17,46,23,71,2,0,70,0,0,0,0
187.08,51,199,0.1598,70,41,17,46,23,71,0,0,70,0,0,0,0
188.47,51,199,0.1616,70,41,17,46,23,71,0,0,70,0,0,0,0
189.56,51,199,0.1613,70,41,17,46,23,71,0,0,70,0,0,0,0
190.57,51,199,0.1558,70,41,17,46,23,71,0,0,70,0,0,0,0
191.59,51,199,0.1692,70,41,17,46,23,71,0,0,70,0,0,0,0
192.62,53,197,0.1549,70,41,17,46,22,70,0,0,70,0,0,0,0
193.65,53,197,0.1678,70,41,17,46,22,70,0,0,70,0,0,0,0
194.80,54,196,0.1625,70,41,17,46,22,69,0,0,70,0,0,0,0
196.54,54,196,0.1715,70,41,17,46,22,69,0,0,70,0,0,0,0
197.55,54,196,0.1723,70,41,17,46,22,69,0,0,70,0,0,0,0
198.66,54,196,0.1738,70,41,17,46,22,69,0,0,70,0,0,0,0
199.69,55,195,0.1656,70,40,17,46,22,69,0,0,70,0,0,0,0
200.82,55,195,0.1774,70,40,17,46,22,69,0,0,70,0,0,0,0
201.93,56,194,0.1723,70,39,17,46,22,69,0,0,70,0,0,0,0
203.02,57,193,0.1802,70,38,17,46,22,69,0,0,70,0,0,0,0
204.09,57,193,0.1788,70,38,17,46,22,69,0,0,70,0,0,0,0
205.12,57,193,0.1792,70,38,17,46,22,69,0,0,70,0,0,0,0
206.16,57,193,0.1748,70,38,17,46,22,69,0,0,70,0,0,0,0
207.17,57,193,0.1747,70,38,17,46,22,69,0,0,70,0,0,0,0
208.30,57,193,0.1834,70,38,17,46,23,68,0,0,70,0,2,0,0
209.45,57,193,0.1813,70,38,17,46,23,68,0,0,70,0,0,0,0
210.47,58,192,0.1774,70,37,16,46,23,68,2,0,70,0,0,0,0
211.51,58,192,0.1742,70,37,16,46,23,68,2,0,70,0,0,0,0
212.65,58,192,0.1739,70,37,16,46,23,68,2,0,70,0,0,0,0
213.66,59,191,0.1693,70,37,16,46,23,68,2,0,70,0,0,0,0
214.68,59,191,0.1794,70,37,16,46,23,68,0,0,70,0,0,0,0
215.73,60,190,0.1806,70,36,16,46,23,68,0,0,70,0,0,0,0
216.74,60,190,0.1899,70,36,16,46,23,68,0,0,70,0,0,0,0
217.86,61,189,0.1877,70,36,16,46,23,67,0,0,70,0,0,0,2
219.02,61,189,0.1884,70,36,16,46,23,67,0,0,70,0,0,0,0
220.02,62,188,0.1795,70,36,16,46,23,66,0,0,70,0,0,0,0
221.09,62,188,0.1796,70,36,16,46,23,66,0,0,70,0,0,0,0
222.13,62,188,0.1766,70,36,16,46,23,66,0,0,70,0,0,0,0
223.13,62,188,0.1819,70,36,16,46,23,66,0,0,70,0,0,0,0
224.25,62,188,0.1975,70,36,16,46,23,66,0,0,70,0,0,0,2
225.25,62,188,0.2153,70,36,16,46,23,66,0,0,70,0,0,0,2
226.26,62,188,0.2111,70,36,16,46,23,66,0,0,70,0,0,0,0
227.30,62,188,0.2092,70,36,16,46,23,66,0,0,70,0,0,0,0
228.34,63,187,0.2070,70,36,16,45,23,66,0,0,70,0,0,0,0
229.44,63,187,0.2066,70,36,16,45,23,66,0,0,70,0,0,0,0
230.48,64,186,0.2010,70,35,16,45,23,66,0,0,70,0,0,0,0
231.53,64,186,0.2050,70,35,16,45,23,66,0,0,70,0,2,0,0
232.63,64,186,0.2142,70,35,16,45,23,66,0,0,70,0,0,0,0
233.65,64,186,0.2177,70,35,16,45,24,65,0,0,70,0,2,0,0
234.69,64,186,0.2319,70,35,16,45,24,65,0,0,70,0,2,0,0
235.79,64,186,0.2370,70,35,16,45,24,65,0,0,70,0,0,0,0
236.85,64,186,0.2377,70,35,16,45,24,65,0,0,70,0,0,0,0
237.89,65,185,0.2188,72,35,16,44,24,65,0,0,72,0,0,0,0
238.94,66,184,0.2205,74,35,16,44,24,64,0,0,74,0,0,0,0
240.02,67,183,0.2054,74,35,16,44,24,63,0,0,74,0,0,0,0
241.14,68,182,0.2118,74,35,16,44,24,63,0,0,74,0,0,0,0
