Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Group 5639,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair (11),Zone_ZoneSensor stair (4)_noSmartSign,Zone_ZoneSensor stair (7),Zone_ZoneSensor stair,Zone_ZoneSensor (1),Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (1),Zone_ZoneSensor stair (5),Zone_ZoneSensor stair (2),Zone_ZoneSensor stair (9),Zone_ZoneSensor stair (10),Zone_ZoneSensor stair (8)
0.00,0,250,0.0000,78,49,26,55,26,94,0,0,0,0,78,0,0,0,0,0,0,0
1.09,3,247,0.0000,78,47,25,55,26,94,0,0,0,0,78,0,0,0,0,0,0,0
2.20,3,247,0.0000,78,47,25,55,26,94,0,0,0,0,78,0,0,0,0,0,0,0
3.22,3,247,0.0173,78,47,25,55,26,94,0,0,0,0,78,0,0,0,0,0,0,0
4.33,3,247,0.0040,78,47,25,55,26,94,0,0,0,0,78,0,0,0,0,0,0,0
5.47,3,247,0.0031,78,47,25,55,26,94,0,0,0,0,78,0,0,0,0,0,0,0
6.63,3,247,0.0140,78,47,25,55,26,94,0,0,0,0,78,0,0,0,0,0,0,0
7.63,3,247,0.0201,78,47,25,55,26,94,0,0,0,0,78,0,0,0,0,0,0,0
8.78,3,247,0.0182,78,47,25,55,26,94,0,0,0,0,78,0,0,0,0,0,0,0
9.89,3,247,0.0304,78,47,25,55,26,94,0,0,0,0,78,0,0,0,0,0,0,0
10.95,3,247,0.0304,78,47,25,55,26,94,0,0,0,0,78,0,0,0,0,0,0,0
12.03,3,247,0.0293,78,47,25,55,26,94,0,0,0,0,78,0,0,0,0,0,0,0
13.08,3,247,0.0304,78,47,25,55,26,94,0,0,0,0,78,0,0,0,0,0,0,0
14.24,3,247,0.0293,78,47,25,55,26,94,0,0,0,0,78,0,0,0,0,0,0,0
15.40,3,247,0.0303,78,47,25,55,26,94,0,0,0,0,78,0,0,0,0,0,0,0
16.53,4,246,0.0300,78,47,25,55,26,93,0,0,0,0,78,0,0,0,0,0,0,0
17.61,4,246,0.0358,78,47,25,55,26,93,0,0,0,0,78,0,0,0,0,0,0,0
18.66,4,246,0.0364,78,47,25,55,26,93,0,0,0,0,78,0,0,0,0,0,0,0
19.72,4,246,0.0445,78,47,25,55,26,93,0,0,0,0,78,0,0,0,0,0,0,0
20.81,4,246,0.0414,78,47,25,55,26,93,0,0,0,0,78,0,0,0,0,0,0,0
21.84,4,246,0.0415,78,47,25,55,26,93,0,0,0,0,78,0,0,0,0,0,0,0
22.89,4,246,0.0414,78,47,25,55,26,93,0,0,0,0,78,0,0,0,0,0,0,0
23.98,4,246,0.0412,78,47,25,55,26,93,0,0,0,0,78,0,0,0,0,0,0,0
25.10,4,246,0.0423,78,47,25,55,26,93,0,0,0,0,78,0,0,0,0,0,0,0
